Theme;Is Under The Theme;Word;Translation;Image;Definition;Conjugation;Declensions;Examples;Pronunciation;OLD
A;AugustaMAP;ad mapu;s. comp. Pangui. Persona de la misma tierra, paisano. V. ad.;;;;;;az mapu;
A;AugustaMAP;adduamkülen;intr. Estar resuelto.;;;;;;azzuamkülen;
A;AugustaMAP;adduamün;intr. Haberse resuelto.;;;;;;azzuamün;
A;AugustaMAP;addüngun;intr. Hablar bien, oportunamente.;;;;;;azzügun;
A;AugustaMAP;adelchen;(de ad) intr. Saber tratar con las personas.;;;;;;azelchen;
A;AugustaMAP;adelfal;adj. Tratable. | De fácil manejo.;;;;;;azelfal;
A;AugustaMAP;adelfalün;intr. Ser tratable, etc.;;;;;;azelfalün;
A;AugustaMAP;adelün;unitr. Entenderse con alguien. | Saber realizar algún trabajo. | Saber manejar algún instrumento.;;;;;;azelün;
A;AugustaMAP;adeluwün;refl. Estar impuesto de un asunto, de los manejos de la casa o de un oficio, no tener ya dificultades, estar algo diestro. | rec. Haberse arreglado dos personas desavenidas.;;;;;;azeluwün;
A;AugustaMAP;adeluwün ngen;Saber arreglarse saber ganar la vida, tener habilidad para trabajos.;;;;;;azeluwün gen;
A;AugustaMAP;adentu;s. Molde (p. ej. para sastre).;;;;;;azentu;
A;AugustaMAP;adentulün;unitr. Retratar.;;;;;;azentulün;
A;AugustaMAP;adentun;(de ad) unitr. Encontrar bueno, razonable, justificado. Adentun ñi düngu 'me parece bueno mi asunto'. | Imitar un original. | s. El retrato, la imagen.;;;;;;azentun;
A;AugustaMAP;adentun'emül;s. comp. Muestra de escritura.;;;;;;azentunhemül;
A;AugustaMAP;adentunentun;unitr. Copiar, imitar, sacar una muestra.;;;;;;azentunentun;
A;AugustaMAP;adkan;(de ad) unitr. Afrentar, hacer con otro lo que ocurra a uno.;;;;;;azkan;
A;AugustaMAP;adkantu;s. ? adngelkantu.;;;;;;azkantu;
A;AugustaMAP;adkawkiawün;intr. Andar haciendo maldades.;;;;;;azkawkiawün;
A;AugustaMAP;adkawün;cua. refl. Hacer maldades, picardías.;;;;;;azkawün;
A;AugustaMAP;adkawün ngen;intr. Ser malo, pícaro, peleador.;;;;;;azkawün gen;
A;AugustaMAP;adkinngen;(de ad) intr. Ser punto de bella vista. Adkinngey faw 'aquí se goza de buena vista'.;;;;;;azkingen;
A;AugustaMAP;adkintulen, adkintumeken;intr. Mirar a lo lejos, como explorando.;;;;;;azkintulen, azkintumeken;
A;AugustaMAP;adkintun;(de adkin) unitr. Divisar, ver (de lejos). Adkintufiñ al'ümapu 'lo vi de lejos'.;;;;;;azkintun;
A;AugustaMAP;adkintun ngen;Poder divisarse algo.;;;;;;azkintun gen;
A;AugustaMAP;adkintun ngey faw;? adkinngey.;;;;;;azkintun gey faw;
A;AugustaMAP;adkintupeyüm;s. Tronera, agujero en la casa que sirve para mirar afuera.;;;;;;azkintupeyüm;
A;AugustaMAP;adkinturulün;unitr. Pangui. Ver de lejos.;;;;;;azkinturulün;
A;AugustaMAP;adkülen;? adün. intr. Estar bien, en orden, arreglado, convenido un negocio. | Mirar, tener su frente hacia algo, p. ej. eymi püle 'hacia ti', piku püle 'hacia el norte'.;;;;;;azkülen;
A;AugustaMAP;adkünun;unitr. Dejar arreglado un negocio o trabajo. | Poner algo con el frente hacia cierto lado, dirigirlo hacia allí. Chew püle ñi adkünungen amukey globo 'el globo va hacia donde se lo gobierna'.;;;;;;azkünun;
A;AugustaMAP;adman;(de ad) unitr. Recibir bien o mal a una persona. Küme admanew 'me recibió bien'. | Encontrar por casualidad.;;;;;;azman;
A;AugustaMAP;admongelen;intr. Acostumbrar vivir. Chumngechi ñi admongelen che fill mapu mew 'como acostumbra vivir la gente en toda la tierra'.;;;;;;azmogelen;
A;AugustaMAP;admongen;(de ad) intr. ? admongelen. | s. Modo de vivir.;;;;;;azmogen;
A;AugustaMAP;adngelkantu;(de ad) s. Persona tenida como perteneciente a la familia sin que sea pariente.;;;;;;azgelkantu;
A;AugustaMAP;adngen;adj. Bonito. Eluen kiñe adngen nütram 'cuéntame cosa bonita, interesante'. V. ad.;;;;;;azgen;
A;AugustaMAP;adno;loc. adv. Por casualidad.;;;;;;azno;
A;AugustaMAP;ado;adv. ant. Ahora.;;;;;;azo;
A;AugustaMAP;adowüla;Ahora luego, pronto.;;;;;;azowüla;
A;AugustaMAP;adtripan;intr. Salir bien, salir como su original.;;;;;;aztxipan;
A;AugustaMAP;adtükun;unitr. Arreglar, componer bien. | Arrojar, empujar (p. ej. al enemigo en la guerra) hacia cierta parte.;;;;;;aztükun;
A;AugustaMAP;adtun;? kümentun. unitr. Hallar bueno un asunto. Iñche newe adtukelafiñ chi düngu 'a mí no me agrada mucho este asunto (del casamiento)'.;;;;;;aztun;
A;AugustaMAP;adtuyen;unitr. Tener algo por costumbre.;;;;;;aztuyen;
A;AugustaMAP;adu tripan ñi trawa;Excoriarse, salir un pedazo del cutis.;;;;;;azu txipan ñi txawa;
A;AugustaMAP;adümfalün;intr. ? adelfalün.;;;;;;azümfalün;
A;AugustaMAP;adümkawkülen;intr. ? adeluwün ngen.;;;;;;azümkawkülen;
A;AugustaMAP;adümün;(de ad) ? adelün. unitr. Müchay adümken fill küdaw 'luego aprendo todo trabajo'. Adümnien küdaw 'sé el trabajo, tengo práctica en hacerlo'. Fey adümelenew (o kimelenew) feychi küdaw 'él me enseñó el trabajo'. Fey adümkünulenew küdaw 'me dejó enseñado'.;;;;;;azümün;
A;AugustaMAP;adümunfe ngen, adümuwün ngen;? adeluwün ngen.;;;;;;azümunfe gen, azümuwün gen;
A;AugustaMAP;adün;intr. Ser bonito. Adwelay mi makuñ 'ya no está bonita tu manta'. | ? adkülen. Haberse arreglado un negocio, estar bien, en orden, convenido. | ? adelün, adümün. Con sujeto personal: tener práctica, destreza en algo. Adün feychi küdaw mew 'tengo práctica en tal trabajo'.;;;;;;azün;
A;AugustaMAP;adüwün;refl. Ocurrírsele algo a uno. Müchay femngen adüwfule ñi küpayagel engün 'por el caso de que se les ocurriera de un momento a otro venir acá'.;;;;;;azüwün;
A;AugustaMAP;adwen;s. Parientes muy cercanos entre sí.;;;;;;azwen;
A;AugustaMAP;adyen;unitr. Seguir los modos, las costumbres de alguien.;;;;;;azyen;
A;AugustaMAP;afafngen;intr. Concluirse, acabarse pronto. | Morirse las personas unas tras otras.;;;;;;afafgen;
A;AugustaMAP;afantü;s. comp. El último día.;;;;;;afantü;
A;AugustaMAP;afduamün;intr. Admirarse, asombrarse.;;;;;;afzuamün;
A;AugustaMAP;afduamün ngen;intr. Causar admiración. Afduamün ngey mongen ka 'causa asombro esta vida de veras'.;;;;;;afzuamün gen;
A;AugustaMAP;afdüngu;s. comp. Conclusión de todo.;;;;;;afzügu;
A;AugustaMAP;afelün;(de af) unitr. Causar, molestar, fastidiar. | Pangui. Poner fin a algo.;;;;;;afelün;
A;AugustaMAP;afeluwkonün ngen;intr. Ser algo para aburrirse.;;;;;;afeluwkonün gen;
A;AugustaMAP;afeluwün;refl. Aburrirse, cansarse de algo.;;;;;;afeluwün;
A;AugustaMAP;afeluwün ngen;intr. Causar fastidio o aburrimiento.;;;;;;afeluwün gen;
A;AugustaMAP;afentu;adv. Huapi. Completivamente. Afentu l'awen'tuan ti kutran 'completaré con remedios la curación del enfermo (iniciada tal vez por la machi). Afentu l'awen'tulagen ñi kutran 'completarás con remedios la curación de mi enfermedad (o la de mi enfermo)'.;;;;;;afentu;
A;AugustaMAP;afentun;unitr. Concluir. | Abominar. Afentufiñ 'ya no le puedo hacer ningún servicio, estoy fastidiado de él'.;;;;;;afentun;
A;AugustaMAP;afi ñi duam;? afeluwün.;;;;;;afi ñi zuam;
A;AugustaMAP;afinan;adj. El menor de todos. Afinan fot'üm 'el hijo menor de todos'.;;;;;;afinan;
A;AugustaMAP;afkadi;s. comp. El lado (de las personas). | loc. adv. Al lado. Afkadi niey ñi chaw 'está al lado o al amparo de su padre'.;;;;;;afkazi;
A;AugustaMAP;afkadilen;intr. Estar al lado de alguien. Afkadiley ñi chaw mew 'está al lado de su padre'.;;;;;;afkazilen;
A;AugustaMAP;afkadiyen;unitr. Llevar a otro a su lado. Ñi afkadiyepegel 'la persona que llevo a mi lado'.;;;;;;afkaziyen;
A;AugustaMAP;afkentu;(de af) adv. Casi sin cesar, sin cesar (hablando con exageración). Afkentu mütrümpuyyu 'allí llamamos sin cesar'.;;;;;;afkentu;
A;AugustaMAP;afkentun;intr. Hacer u ocuparse en algo sin cesar. Afkentun llanos mew (o afkentu miawkefun llanos mew) 'he viajado sin cesar, muy largo tiempo en los llanos'.;;;;;;afkentun;
A;AugustaMAP;afkiduamün, afküduamün;intr. Pangui. ant. Suspirar, tener pena, arrepentimiento.;;;;;;afkizuamün, afküzuamün;
A;AugustaMAP;afkülen;? afün. intr. Haberse concluido, acabado.;;;;;;afkülen;
A;AugustaMAP;afl'afken';s. comp. Los últimos límites del mar.;;;;;;aflhafkenh;
A;AugustaMAP;afmapu;s. comp. Los confines de la tierra.;;;;;;afmapu;
A;AugustaMAP;afnagün;intr. Consumirse enteramente (p. ej. por el fuego).;;;;;;afnaqün;
A;AugustaMAP;afngünen ngen;intr. Ser inventor interminable de astucias.;;;;;;afgünen gen;
A;AugustaMAP;afongkülen;intr. Pangui. Brillar mucho una estrella.;;;;;;afogkülen;
A;AugustaMAP;afpeyüm;(ger. de afün) s. Punto donde acaban las cosas.;;;;;;afpeyüm;
A;AugustaMAP;afpun;intr. Llegar al fin. | adv. Al fin. | adj. v. El fin de las cosas. Afpun calle mew 'al fin, en la salida de la calle'. Afpun mapu 'los límites, la frontera'. Afpun tripantu 'al final del año'. Afpun ngelay 'no tiene término o fin'. Llawiñ afpun niey ñ '(la palabra) llawiñ termina en ñ'.;;;;;;afpun;
A;AugustaMAP;aftükun;unitr. Dejar sin amparo.;;;;;;aftükun;
A;AugustaMAP;afukachu;s. comp. Huapi. Cierta clase de gramíneas.;;;;;;afukachu;
A;AugustaMAP;afülkelleñfe;s. comp. Pangui. La chicharra (lit. 'sazonador de frutillas', nombre que le dan por coincidir su canto con la maduración de las frutillas).;;;;;;afülkelleñfe;
A;AugustaMAP;afülün;unitr. p. us. ? afümün.;;;;;;afülün;
A;AugustaMAP;afümün;unitr. Cocer.;;;;;;afümün;
A;AugustaMAP;afün;intr. Cocer, madurar, digerirse. Llag püchü afüy ilo 'la carne está a medio cocer'. Afüy manshana 'las manzanas han madurado'. Afüy ñi wün' 'tengo la boca como cocida'. | adj. v. Cocido, maduro.;;;;;;afün;
A;AugustaMAP;afün;intr. Concluirse.;;;;;;afün;
A;AugustaMAP;afünchen ngen;intr. Pangui. Ablandarse al cocerse. Küme afünchen ngey tüfachi allfid 'estas arvejas se ablandan bien al cocerse'.;;;;;;afünchen gen;
A;AugustaMAP;afüñmawün;cua. refl. Cocerse, inflamarse (la piel por el roce de una parte del cuerpo con otra).;;;;;;afüñmawün;
A;AugustaMAP;afüñten ngen;Huapi. ? afünchen ngen.;;;;;;afüñten gen;
A;AugustaMAP;akuakungen;intr. Estar reuniéndose las personas.;;;;;;akuakugen;
A;AugustaMAP;akucha;(del esp. aguja) s. Aguja.;;;;;;akucha;
A;AugustaMAP;akulün;unitr. Conducir a este lugar, traer. Akulelenew ñi weshakelu 'él me ha traído mi objeto'.;;;;;;akulün;
A;AugustaMAP;akun;intr. Llegar (acá). Akuy 'hemos llegado'. Akuy ketran 'las mieses están maduras'.;;;;;;akun;
A;AugustaMAP;akuñman;unitr. Tratándose de males: llegarle algo a alguna persona. Akuñman wesha düngu 'he recibido, me ha llegado una mala noticia'.;;;;;;akuñman;
A;AugustaMAP;akutun;intr. Llegar de regreso.;;;;;;akutun;
A;AugustaMAP;akuwmagün;intr. Haberle llegado el sueño a uno. ¿Akuwmagimi? '¿tienes sueño?'. Akukelay ñi umag 'no puedo conciliar el sueño'.;;;;;;akuwmaqün;
A;AugustaMAP;al'antü;? al'ü antü.;;;;;;alhantü;
A;AugustaMAP;al'antün;intr. ? al'ü antün.;;;;;;alhantün;
A;AugustaMAP;al'ü;adj. Mucho.;;;;;;alhü;
A;AugustaMAP;al'üantü;loc. adv. Con mucho sol, avanzado ya el día, tarde (de día). Doy al'üantü 'más tarde'.;;;;;;alhüantü;
A;AugustaMAP;al'üantün;intr. Ser tarde (de día).;;;;;;alhüantün;
A;AugustaMAP;al'üfalin;intr. Valer mucho. | adj. Precioso.;;;;;;alhüfalin;
A;AugustaMAP;al'üke;(pl. partit.) ? al'ün che. Al'üke che 'muchas personas'. V. al'ümapu.;;;;;;alhüke;
A;AugustaMAP;al'ükelün;ditr. Darle mucho de una especie. Al'ükelngey mapu 'le han dado mucho terreno'.;;;;;;alhükelün;
A;AugustaMAP;al'ükon;adv. Muy adentro. Doy al'ükon 'más adentro'.;;;;;;alhükon;
A;AugustaMAP;al'ükonkülen;intr. Estar muy al interior.;;;;;;alhükonkülen;
A;AugustaMAP;al'ülen;? al'ün. intr. Ser mucho, haber mucho. Al'üley kachu pül'ü faw 'hay mucho pasto, muchas moscas aquí'. Petu al'üley rüpü ñi inaya 'todavía es largo el camino que he de seguir'.;;;;;;alhülen;
A;AugustaMAP;al'ülewen;intr. Quedar mucho, faltar mucho. Al'ülewey antü 'queda mucho sol, es temprano'. Al'ülewechi antü (mew) o al'ülewen antü tripaiñ 'cuando aún quedaba mucho sol (es decir, temprano), salimos'.;;;;;;alhülewen;
A;AugustaMAP;al'ülko mollfüñ;s. comp. La aguadija (humor claro de los granos o de las llagas).;;;;;;alhülko mollfüñ;
A;AugustaMAP;al'ülün;ditr. Darle mucho a uno, aumentar, multiplicarle algo.;;;;;;alhülün;
A;AugustaMAP;al'ümapu;? ka mapu. loc. adv. Lejos, de lejos. Al'ümapu tuwi 'viene de lejos'. Al'üke mapu 'de tierras lejanas'. Doy al'ümapu 'más lejos, de más lejos'.;;;;;;alhümapu;
A;AugustaMAP;al'ün;intr. Ser mucho, grande, vehemente. Al'üy ñi kutran 'grande es mi dolor'. Al'üy ñi rakiduam 'pienso mucho'. | adj. Mucho. | adv. Mucho.;;;;;;alhün;
A;AugustaMAP;al'ün mew;loc. adv. Después de mucho tiempo. Pichi (o püchü) al'ün mew 'después de un corto tiempo'.;;;;;;alhün mew;
A;AugustaMAP;al'üngerpun;? yallürpun. intr. Haberse multiplicado mucho con el tiempo.;;;;;;alhügerpun;
A;AugustaMAP;al'üntu;? al'üñma. adv. Largo tiempo.;;;;;;alhüntu;
A;AugustaMAP;al'üñma;adv. ? al'üntu. || al'üñma mew. loc. adv. ? al'ün mew.;;;;;;alhüñma;
A;AugustaMAP;al'üñmalen;intr. Durar mucho tiempo, ser largo.;;;;;;alhüñmalen;
A;AugustaMAP;al'üñman;intr. Demorar, durar mucho tiempo, ser largo (una función, oración, un cuento, etc.). Al'üñmamey '(él) tarda mucho en volver'. ¿Dewma al'üñmapaymi? '¿mucho tiempo estás ya aquí?'. Al'üñmapay '(él) está aquí ya mucho tiempo'.;;;;;;alhüñman;
A;AugustaMAP;al'üpu;adv. A mucha distancia.;;;;;;alhüpu;
A;AugustaMAP;al'üpun';loc. adv. Muy de noche. Doy alüpun 'más tarde (en la noche)'.;;;;;;alhüpunh;
A;AugustaMAP;al'üpun'ün;impers. Ser muy de noche.;;;;;;alhüpunhün;
A;AugustaMAP;al'üpüra;adj. Alto. | adv. Alto, de lo alto. Fücha al'üpüra 'de muy alto'.;;;;;;alhüpüra;
A;AugustaMAP;al'üpüralen;intr. Ser muy alto. Ñi al'üpüralen mew 'por su gran altura'.;;;;;;alhüpüralen;
A;AugustaMAP;al'üpüran;? al'üpüralen. intr. Subir alto. Ñi al'üpüran mew 'por su gran altura'.;;;;;;alhüpüran;
A;AugustaMAP;al'ütripa;loc. adv. Desde lejos (p. ej. tirar una piedra). | A mucha distancia (p. ej. del camino). Püchü al'ütripa 'a poca distancia'.;;;;;;alhütxipa;
A;AugustaMAP;al'üyekowmen;intr. Pangui. ? al'üyekümen.;;;;;;alhüyekowmen;
A;AugustaMAP;al'üyekümen;intr. Huapi. Ir en aumento.;;;;;;alhüyekümen;
A;AugustaMAP;ale;s. La luz de la luna. Alengey 'hay luna, la luna alumbra'.;;;;;;ale;
A;AugustaMAP;alikutran;s. Pangui. La fiebre.;;;;;;alikutxan;
A;AugustaMAP;alilen;intr. Tener fiebre, calor.;;;;;;alilen;
A;AugustaMAP;alimün;unitr. Caldear.;;;;;;alimün;
A;AugustaMAP;alin;? are. adj. Caldeado.;;;;;;alin;
A;AugustaMAP;alingün;? are ngen. intr. Huapi. Caldearse. Alingüy ñi trawa 'mi piel está ardiente'.;;;;;;aligün;
A;AugustaMAP;alinkülen;intr. Tener mucho ardor.;;;;;;alinkülen;
A;AugustaMAP;alinkülün;unitr. Pangui. Acalorar, dar calor.;;;;;;alinkülün;
A;AugustaMAP;aliwen;s. El árbol.;;;;;;aliwen;
A;AugustaMAP;aliwenün;intr. Hacerse árbol. Piñol fücha aliwenkey 'el avellanillo se hace árbol grande'.;;;;;;aliwenün;
A;AugustaMAP;alka;s. El macho de aves y ciertos cuadrúpedos. Alkaachawall 'gallo'. Alkaofisha 'cordero'. Püchü ofisha 'corderito'.;;;;;;alka;
A;AugustaMAP;alla;? ella, ayfiñ. adj. Bonito.;;;;;;alla;
A;AugustaMAP;allalkalen;intr. ? ellalkalen, kümelkalen.;;;;;;allalkalen;
A;AugustaMAP;allfen;(de allfün) adj. Herido, lastimado, matado. | s. La herida, la llaga.;;;;;;allfen;
A;AugustaMAP;allfid, allfida;s. Pangui. La arveja.;;;;;;allfiz, allfiza;
A;AugustaMAP;allfidkachu, allfidakachu;s. comp. Pangui. La gualputra o hualputa, hierba. V. Lenz (1905-1910).;;;;;;allfizkachu, allfizakachu;
A;AugustaMAP;allfülün;unitr. Herir, lastimar. | Huapi. Perjudicar. Pu kawellu allfülkonkey ketran mew 'los caballos hacen perjuicios en los sembrados'.;;;;;;allfülün;
A;AugustaMAP;allfüluwün ngen;Ser peligroso (habiendo peligro de sufrir un percance, de herirse, etc.).;;;;;;allfüluwün gen;
A;AugustaMAP;allfümetan;intr. Pangui. Abortar.;;;;;;allfümetan;
A;AugustaMAP;allfün;intr. Ser herido, lastimado. | Mellarse.;;;;;;allfün;
A;AugustaMAP;allfüpüñeñün;intr. ? allfümetan.;;;;;;allfüpüñeñün;
A;AugustaMAP;allkükadüngun;intr. Por interposición de su objeto directo düngu: escuchar novedades, ser novelero.;;;;;;allkükazügun;
A;AugustaMAP;allkün;intr./unitr. Oír. Allküñmangey ñi rezan 'su oración ha sido escuchada'.;;;;;;allkün;
A;AugustaMAP;allküpenoel;part. pas. negat. Inaudito.;;;;;;allküpenoel;
A;AugustaMAP;allkütun;unitr./intr. Escuchar, prestar atención. Allkütumekey 'está escuchando'. Allkütuñmangey ñi rezan 'su oración le fue escuchada'.;;;;;;allkütun;
A;AugustaMAP;allküuyeel;part. pas. La noticia que se ha oído.;;;;;;allküuyeel;
A;AugustaMAP;alluka;Tranc. ? meñshi.;;;;;;alluka;
A;AugustaMAP;allush;adj. Tibio.;;;;;;allush;
A;AugustaMAP;allushün, allushkülen, allushngen;intr. Estar tibio.;;;;;;allushün, allushkülen, allushgen;
A;AugustaMAP;allwe;adv. No muy, medianamente. Allwe ayush ko, allwekufün ko o ella kufün ko 'agua algo tibia'. | Poco a poco. | Con nombres de colores: tirar al color respectivo. Allwe chodi 'es amarillento'. || allwe ayelen. intr. Sonreírse.;;;;;;allwe;
A;AugustaMAP;allwiñ;s. Bulto grande, p. ej. de ropa (allwiñtakun). | Huapi. Saco que forman las mujeres remangando para adentro la parte trasera de sus capas. | Pangui. Lío o atado que se hace para llevar unas cosas a espaldas y amarradas en el cuello. Meñkuniey ñi allwiñ 'tiene su lío cargado al hombro'.;;;;;;allwiñ;
A;AugustaMAP;alngumün;unitr. Tostar demasiado (medio quemar).;;;;;;algumün;
A;AugustaMAP;alngun;intr. Caldearse mucho.;;;;;;algun;
A;AugustaMAP;aloftun;unitr. Pangui. Tener una vislumbre de los objetos quien está casi ciego. Aloftukefiñ ñi pen (o ñi pukintun) che, antü 'vislumbro la gente, el sol'.;;;;;;aloftun;
A;AugustaMAP;alofün, alofkülen;intr. Relumbrar.;;;;;;alofün, alofkülen;
A;AugustaMAP;alongün, alongkülen, alongngen;intr. ? alofün, alofkülen.;;;;;;alogün, alogkülen, aloggen;
A;AugustaMAP;altaweñi;s. comp. Niño, hijito simpático u otra palabra de cariño a los niños.;;;;;;altaweñi;
A;AugustaMAP;altron;unitr. Empujar. V. ralthon en Febrés (1765).;;;;;;altxon;
A;AugustaMAP;alülün;intr. Tener acedía. | Estar muy adolorido.;;;;;;alülün;
A;AugustaMAP;alüngkülen;intr. Huapi. Estar echadas hacia adelante, p. ej. pilun kawellu 'las orejas del caballo'.;;;;;;alügkülen;
A;AugustaMAP;alüngnien;unitr. Tener echadas hacia adelante, p. ej. ñi pilun 'sus orejas'.;;;;;;alügnien;
A;AugustaMAP;alupache;s. comp. Pangui. Personas que encanecen temprano. Alupache ngey ñi küpan 'mi familia encanece temprano'.;;;;;;alupache;
A;AugustaMAP;alüwe;adv. ? allwe.;;;;;;alüwe;
A;AugustaMAP;alwe;? l'a yem. s. El muerto, el alma del muerto.;;;;;;alwe;
A;AugustaMAP;alwekuri;"s. comp. Pangui. Bot. La hortiga con hojas salpicadas de blanco. Loasa acanthifolia; fam. Loasaceae.";;;;;;alwekuri;
A;AugustaMAP;alwel'awen';"s. comp. Pangui. Bot. El palqui. Cestrum parqui L'Hér.; fam. Solanaceae.";;;;;;alwelhawenh;
A;AugustaMAP;alwen;intr. Pangui. expr. de machi. Morir.;;;;;;alwen;
A;AugustaMAP;alwengen;intr. expr. de machi. Morir. Epe may alwengefun 'casi me hubiera muerto'.;;;;;;alwegen;
A;AugustaMAP;alwewekufü;s. comp. Pangui. Ánima diabla, perjudicial.;;;;;;alwewekufü;
A;AugustaMAP;am;partíc. interrog. ? kam.;;;;;;am;
A;AugustaMAP;am;s. La sombra del muerto, a veces el alma separada del cuerpo, o el muerto que subsiste de una manera indefinida, más material que espiritualmente (muerto que anda penando). Antü ñi am 'el alma del sol'.V. Augusta (1910, p. 283, lín. 2).;;;;;;am;
A;AugustaMAP;ama;? kam ta. partíc. interrog. ¿Fey pilayyu ama? '¿no te lo he dicho?'. ¿Fey ama? '¿ese?, ¿eso es?'.;;;;;;ama;
A;AugustaMAP;amomaritun;(probabl. de marichi amutun) intr. expr. de machi. Irse sin falta. La machi arenga al wekufü o alwe que supone estar dentro del enfermo en los siguientes términos: fey tami ngillatufiñ: amomarituaymi, tüfachi kuñifal em chumlafeymew, fent'eni mi kutrankafiel 'he aquí te conjuro: te irás irrevocablemente, este pobre enfermo no te ha hecho nada, (y) tú lo has hecho padecer tanto'. Esta traducción del término es la más obvia, mientras que la de Febrés (1765) o Havestadt (1777), a lo menos en ese conjunto, no daría sentido.;;;;;;amomaritun;
A;AugustaMAP;amon;Pangui. ? amun.;;;;;;amon;
A;AugustaMAP;ampan;(de amupan) intr. Venir acá.;;;;;;ampan;
A;AugustaMAP;ampin;unitr. Aplicar remedio de polvo o hierba quemada a la piel, a las llagas.;;;;;;ampin;
A;AugustaMAP;amta;? kam ta.;;;;;;amta;
A;AugustaMAP;amuel;part. ? amueltu.;;;;;;amuel;
A;AugustaMAP;amueltu;loc. adv. De... para allá. Puente ñi amueltu 'del puente para allá'.;;;;;;amueltu;
A;AugustaMAP;amukan;intr. Viajar. Amukan che 'el viajero'.;;;;;;amukan;
A;AugustaMAP;amulen;intr. Caminar. | Seguir andando. Yom amulenge 'sigue más adelante'. | Progresar. Amulepe chillkatun 'continúese la lectura (es decir, ¡sigue leyendo!)'. | Estar en movimiento (máquina, vehículo, embarcación).;;;;;;amulen;
A;AugustaMAP;amulpan;unitr. Enviar acá. Amulpayaymi düngu ñi tremolen tañi ñawe, ñi doy kutranün 'enviarás de allá noticia (indicando) si mi hija está sana o si ha enfermado más'.;;;;;;amulpan;
A;AugustaMAP;amultükun;unitr. Dar por perdida una cosa prestada a otro, exponer algo a un riesgo.;;;;;;amultükun;
A;AugustaMAP;amulün;unitr. Hacer andar, poner en movimiento. | Encaminar, alargar (correa), enviar o despachar (cartas), dirigirlas a tal persona, a tal lugar. Amulan tüfachi düngu mi chaw mew 'comunicaré esto a tu padre'. Amulan kiñe chillka Argentina mew 'enviaré una carta a la Argentina'. Feychi düngu amulelen tañi fot'üm mew 'escríbeme esto a mi hijo'. Amulelageyu mi solicitud Gobierno mew '(te) enviaré tu solicitud al Gobierno'.;;;;;;amulün;
A;AugustaMAP;amun;intr. Irse, ir, avanzar. Amuy antü 'la estación ha avanzado, el sol se ha ido (p. ej. hacia el norte en el invierno). A muy l'afken' 'el (ruido del) mar ha cambiado de dirección'.;;;;;;amun;
A;AugustaMAP;amuntükun;? amultükun (probabl.) unitr. Írsele a alguno una cosa por estar en algún enlace con otra. Amuntükun lashu 'se me fue (el caballo con) el lazo'. | act. Poner en riesgo. Fentren plata amuntükun feychi düngu mew 'tanta plata he gastado en el asunto la cual tal vez voy a perder'.;;;;;;amuntükun;
A;AugustaMAP;amuntükuwün;refl. Exponerse. Amuntükuwün plata ñi duam 'me expuse (a perder la vida) por (ganar) el dinero'. || amuntükuye. Persona que va sin estar invitada.;;;;;;amuntükuwün;
A;AugustaMAP;amüñ;? aymeñ. adv. Poco.;;;;;;amüñ;
A;AugustaMAP;amupan;intr. Venir acá.;;;;;;amupan;
