Theme;Is Under The Theme;Word;Translation;Image;Definition;Conjugation;Declensions;Examples;Pronunciation;OLD
InekeSmeets;Transitive;afkazinie-;"to be by the side of, to assist someone;";;;;;;/?fk???n?ë/;afkadinie-
InekeSmeets;Adverb;afkentu;"continuously, for a long time, since a long time;";;;;;;/?fkënt?/;afkentu
InekeSmeets;Intransitive;afkentu-;"to linger;";;;;;;/?fkënt?/;afkentu-
InekeSmeets;Intransitive;afma-;"to become broke/penniless;";;;;;;/?fm?/;afma-
InekeSmeets;Transitive;afmanie-;"to keep someone, to maintain someone; also af-ma-ye-.";;;;;;/?fm?n?ë/;afmanie-
InekeSmeets;Transitive;afmatu-;"to admire;";;;;;;/?fm?t?/;afmatu-
InekeSmeets;Transitive;afmaye-;see af-ma-nie-.;;;;;;/?fm?jë/;afmaye-
InekeSmeets;Transitive;apüm-;"to bring to an end, to finish; müchay apümelenew ñi dungu 'he settled my affairs quickly';";;;;;;/?püm/;apüm-
InekeSmeets;Intransitive;apümfal-;to be easy to deal with.;;;;;;/?pümf?l/;apümfal-
InekeSmeets;Transitive;apümtuku-;"to make full use of, to invest all one's money in;";;;;;;/?pümt?k?/;apümtuku-
InekeSmeets;Adverb;afkentu;"continuously, for a long time, since a long time; see af-.";;;;;;/?fkënt?/;afkentu
InekeSmeets;Intransitive;afkentu-;"to linger; see af-.";;;;;;/?fkënt?/;afkentu-
InekeSmeets;Transitive;afmatu-;"to admire; see af-.";;;;;;/?fm?t?/;afmatu-
InekeSmeets;Intransitive;afü-;"to get cooked, to ripen;";;;;;;/?fü/;afü-
InekeSmeets;Transitive;afüm-;"to cook, to ripen, to cause to boil;";;;;;;/?füm/;afüm-
InekeSmeets;Transitive;afümtuku-;"to put something in a pot to cook;";;;;;;/?fümt?k?/;afümtuku-
InekeSmeets;Adjective;afün;"cooked; afün ilo 'cooked meat'; afün kachu 'matured grass, grass that is ready to be mowed';";;;;;;/?fün/;afün
InekeSmeets;Intransitive;afüwün-;"to get an inflamed mouth/lips; afüñmawküley ñi wün 'my mouth is infected';";;;;;;/?füwün/;afüwün-
InekeSmeets;Transitive;akorza-;"to remember; Sp. acordarse.";;;;;;/?kö???/;akorda-
InekeSmeets;Intransitive;aku-;"to arrive (here), to reach maturity; cf. puw- 'to arrive (there)';";;;;;;/?k?/;aku-
InekeSmeets;Adjective;akunten;"ripening easily;";;;;;;/?k?ntën/;akunten
InekeSmeets;Intransitive;akuntenge-;to be something that ripens easily.;;;;;;/?k?ntën?ë/;akuntennge-
InekeSmeets;Transitive;akuñma-;"to get, to receive, to have something coming to maturity; iñche akuñman awar 'I have my beans almost ripe';";;;;;;/?k??m?/;akuñma-
InekeSmeets;Noun;akucha;"needle; Sp. aguja.";;;;;;/?k?t?h?/;akucha
InekeSmeets;Noun;ale;"moon, moonlight; aleley 'it looks like the moon, it looks like moonlight'; alengey 'there is moonlight, there is a moon'.";;;;;;/?lë/;ale
InekeSmeets;Intransitive;ali-;"to become hot;";;;;;;/?l?/;ali-
InekeSmeets;Transitive;alim-;"to make hot;";;;;;;/?l?m/;alim-
InekeSmeets;Adjective;alin;hot.;;;;;;/?l?n/;alin
InekeSmeets;Noun;alig;"fever;";;;;;;/?l??/;aling
InekeSmeets;Intransitive;alig-;to get fever.;;;;;;/?l??/;aling-
InekeSmeets;Adjective;alka;male (birds, poultry).;;;;;;/?lk?/;alka
InekeSmeets;Transitive;alkila-;"to rent; Sp. alquilar.";;;;;;/?lk?l?/;alkila-
InekeSmeets;Noun;allfeñ;"wound; see allfü- 'to get wounded'.";;;;;;/??fë?/;allfeñ
InekeSmeets;Noun;allfiza;"pea; Sp. arveja.";;;;;;/??f???/;allfida
InekeSmeets;Intransitive;allfü-;"to get wounded;";;;;;;/??fü/;allfü-
InekeSmeets;Noun;allfeñ;wound.;;;;;;/??fë?/;allfeñ
InekeSmeets;Transitive;allfül-;"to injure someone;";;;;;;/??fül/;allfül-
InekeSmeets;Transitive;allfültu-;"to damage (plants, seedlings); fey ñi kulliñ allfültuñmaenew ñi poñü 'his cattle damaged my potatoes';";;;;;;/??fült?/;allfültu-
InekeSmeets;Transitive;allkü-;"to hear;";;;;;;/??kü/;allkü-
InekeSmeets;Adjective;allken;"audible;";;;;;;/??kën/;allken
InekeSmeets;Intransitive;allkenge-;to be audible.;;;;;;/??kën?ë/;allkennge-
InekeSmeets;Transitive;allkütu-;"to listen to, to pay attention to;";;;;;;/??küt?/;allkütu-
InekeSmeets;Adjective;allush;"tepid (only LQ);";;;;;;/????/;allush
InekeSmeets;Intransitive;allush-;to become tepid.;;;;;;/????/;allush-
InekeSmeets;Adverb;allwe;"somewhat, a little (of quality, not quantity); allwe chodi 'yellowish'; allwe ayeyawüy 'he walks around with a faint smile on his face'.";;;;;;/??wë/;allwe
InekeSmeets;Noun;allwiñ;"bundle; meñkuniey ñi allwiñ 'she has her bundle on her back'.";;;;;;/??w??/;allwiñ
InekeSmeets;Intransitive;alof-;to shine, to sparkle, to glitter (by night).;;;;;;/?löf/;alof-
InekeSmeets;Adverb;alü;"much, very; alü ikey 'he eats a lot'; alüke kamapuley 'they are each very far away';";;;;;;/?lü/;alü
InekeSmeets;Intransitive;alü-;"to become much, to become big;";;;;;;/?lü/;alü-
InekeSmeets;Adverb;alüantü;"when the sun is high;";;;;;;/?lü?ntü/;alüantü
InekeSmeets;Transitive;alül-;"to give much to;";;;;;;/?lül/;alül-
InekeSmeets;Adjective;alün;"much, a lot of; niey alün ruka 'he has a lot of houses';";;;;;;/?lün/;alün
InekeSmeets;Adverb;alünmew;"after a long time; also alü-ñma-mew.";;;;;;/?lünmëw/;alünmew
InekeSmeets;Intransitive;alüntu-;"to stay for a long time;";;;;;;/?lünt?/;alüntu-
InekeSmeets;Intransitive;alüñma-;"to stay for a long time, to take much time; dewma alüñmapaymi? 'have yous been here long?';";;;;;;/?lü?m?/;alüñma-
InekeSmeets;Adverb;alüñmamew;see alü-n-mew.;;;;;;/?lü?m?mëw/;alüñmamew
InekeSmeets;Adverb;alüpun;"in the middle of the night;";;;;;;/?lüp?n/;alüpun
InekeSmeets;Noun;alwe;"spirit of a dead person, dead person;";;;;;;/?lwë/;alwe
InekeSmeets;Noun;witxanalwe;"raised spirit (demon); see witra-; alwe mapu 'land of the dead'; alweley 'he looks like a dead man.";;;;;;/w????n?lwë/;witranalwe
InekeSmeets;Noun;am;soul.;;;;;;/?m/;am
InekeSmeets;Particle;am;see 32.2.;;;;;;/?m/;am
InekeSmeets;Particle;ama;see 32.13.;;;;;;/?’m?/;ama
InekeSmeets;Intransitive;amu-;"to go, to continue; tunte amuley ~ konüy tachi küyen? 'which day of the month is it?' (lit: 'how far has this month gone/entered?'); mari kiñe antü amuley ~ konüy 'it is the eleventh';";;;;;;/?m?/;amu-
InekeSmeets;Transitive;amul-;"to send, to continue, to start up (a machine);";;;;;;/?m?l/;amul-
InekeSmeets;Transitive;amultuku-;"to loose something which cannot be retrieved; iñche amultukun küchatun witrun komew 'I lost a piece of laundry in the current of the water'; also amu-ntuku-.";;;;;;/?m?lt?k?/;amultuku-
InekeSmeets;Transitive;amuntuku-;see amu-l-tuku-.;;;;;;/?m?nt?k?/;amuntuku-
InekeSmeets;ITJ;anay;"is said to men and women. anay has a friendly connotation; eymi amunge, anay '[it is better thatl yous go!'; see (16, 1).";;;;;;/?n?j/;anay
InekeSmeets;Particle;anchi;see 32.10.;;;;;;/?nt?h?/;anchi
InekeSmeets;Transitive;anel-;"to threaten, to menace;";;;;;;/?nël/;anel-
InekeSmeets;Transitive;aneltu-;to threaten someone with something.;;;;;;/?nëlt?/;aneltu-
InekeSmeets;Particle;anta;see 32.9.;;;;;;/?nt?/;anta
InekeSmeets;Noun;antü;"sun, day, weather, one day, daily, in...days, ago; tripay antü 'the sun is up'; fachantü 'today'; nieyiñ weshantü ~ wesha antü 'wep have bad weather'; antü tripantu 'dry year'; fachantü afantüy 'the term has expired today'; alantü ~ rupan antü 'when the sun is high'; rangi antü 'at midday'; ella nagün antü 'when the sun is almost going down'; epe konün antü 'when the sun is about to set';";;;;;;/?ntü/;antü
InekeSmeets;Intransitive;antü-;"to be... days ago, to last... days; küla antüy 'it is three days ago';";;;;;;/?ntü/;antü-
InekeSmeets;Intransitive;antüñma-;"to stay... days, to have a... day, to get sun; rangi antüñmamen 'I stayed there half a day';";;;;;;/?ntü?m?/;antüñma-
InekeSmeets;Intransitive;antütu-;to sunbathe, to have sexual intercourse by day.;;;;;;/?ntüt?/;antütu-
InekeSmeets;Transitive;nentuantü-;"to fix a date;";;;;;;/nënt??ntü/;nentuantü-
InekeSmeets;Adverb;anü;"in case; anü mawünmali 'in case it rains'.";;;;;;/?nü/;anü
InekeSmeets;Intransitive;anü-;"to sit down, to take root;";;;;;;/?nü/;anü-
InekeSmeets;Transitive;anüm-;"to make sit down, to plant;";;;;;;/?nüm/;anüm-
InekeSmeets;Intransitive;anünaq-;"to sit down;";;;;;;/?nün??/;anünag-
InekeSmeets;Transitive;anünaküm-;"to put down;";;;;;;/?nün?küm/;anünaküm-
InekeSmeets;Transitive;anüntuku-;"to put down in;";;;;;;/?nünt?k?/;anüntuku-
InekeSmeets;Transitive;anüñma-;"to sit down on/in, to bewitch; iñche ñi chedkuy ñi ruka anüñmaley kutranmew 'the house of my brother-in-law is full of disease'; anüñmanieñmaen ñi makuñ 'yous are sitting on my poncho'; anüñmaley ñi wekufümew 'he is possessed by demons';";;;;;;/?nü?m?/;anüñma-
InekeSmeets;Noun;anütuwe;"seat;";;;;;;/?nüt?wë/;anütuwe
InekeSmeets;Noun;anüwe;buttocks.;;;;;;/?nüwë/;anüwe
InekeSmeets;Noun;age;face.;;;;;;/??ë/;ange
InekeSmeets;Intransitive;agiz-;"to become dry, to become scorched (by fire), to prick; dew angidüy tüfachi ilo? 'is this meat dry yet?'; iñche angidkülen kütralmew 'I am very close to the fire, I get scorched by the fire'; angidüy ñi trawa ortigamew 'my skin tingled from the nettle.";;;;;;/????/;angid-
InekeSmeets;Adjective;agim;"dried; angim uwa 'dried corn';";;;;;;/???m/;angim
InekeSmeets;Transitive;agim-;to dry something (by the fire).;;;;;;/???m/;angim-
InekeSmeets;Noun;agka;"half, trunk, half-way; angka rüpü wiñomey 'half-way he went back'; angka wenu 'between heaven and earth';";;;;;;/??k?/;angka
InekeSmeets;Intransitive;agka-;"to become half; angkalewey ñi tasa 'my cup is still half full'.";;;;;;/??k?/;angka-
InekeSmeets;Transitive;agkaz-;"to take someone behind one (on a horse); Sp. llevar en ancas; cf. mankad- (JM) and mangka-tu- (RR); iñche angkadküpalngen 'I was brought here on a horse'; also angkash-.";;;;;;/??k??/;angkad-
InekeSmeets;Transitive;agkash-;see angkad.;;;;;;/??k??/;angkash-
InekeSmeets;Adjective;agken;"dry; also angkün; see angkü-.";;;;;;/??kën/;angken
InekeSmeets;Intransitive;agkü-;"to become dry/arid (by the sun), to become barren, to dry out; cf. piwü- 'to become dry (what was wet)';";;;;;;/??kü/;angkü-
InekeSmeets;Adjective;agken;"see angkü-n;";;;;;;/??kën/;angken
InekeSmeets;Transitive;agküm-;"to make dry;";;;;;;/??küm/;angküm-
InekeSmeets;Transitive;agkümtu-;"to make something dry on/with something else;";;;;;;/??kümt?/;angkümtu-
InekeSmeets;Noun;agkümtuwe;"a place to dry something, a thing to dry with;";;;;;;/??kümt?wë/;angkümtuwe
InekeSmeets;Adjective;agkün;"dry, parched; also angke-n.";;;;;;/??kün/;angkün
InekeSmeets;Adjective;agkünten;drying fast.;;;;;;/??küntën/;angkünten
InekeSmeets;Intransitive;agküñma-;"to become dry/constipated; angküñman ñi pel 'my throat got parched';";;;;;;/??kü?m?/;angküñma-
InekeSmeets;Adjective;agkün;see angken.;;;;;;/??kün/;angkün
InekeSmeets;Noun;añchü;remainder of wheat in a sieve.;;;;;;/??t?hü/;añchü
InekeSmeets;Noun;añchümalleñ;midget (demon), see (1, 7). añchümalleñ possibly contains añchü 'remainder of wheat in a sieve. Midgets are said to be fond of roasted flour. The anchümalleñ is a small, deformed, childlike creature raised by the witches (kalku) in order to play tricks on people or cause them harm, see (1).;;;;;;/??t?hüm??ë?/;añchümalleñ
InekeSmeets;Intransitive;añiz-;"to become very hot/dry (by the heat of fire), to prick; añidtukukünu- pafinge! 'let it dry by the fire!'; añidüy ñi trawa wimamuetew kuri 'my skin itched where a nettle had stung me'.";;;;;;/????/;añid-
InekeSmeets;Noun;añil;"indigo, Sp. añil; añil takun 'dress dyed indigo'; añilküley 'it appears indigo';";;;;;;/???l/;añil
InekeSmeets;Transitive;añiltu-;to dye something indigo.;;;;;;/???lt?/;añiltu-
InekeSmeets;Intransitive;añütu-;to doze, to drows.;;;;;;/??üt?/;añütu-
InekeSmeets;Adverb;apena;"scarcely; Sp. apenas.";;;;;;/?pën?/;apena
InekeSmeets;Noun;apew;"story; epew (RR);";;;;;;/?pëw/;apew
InekeSmeets;Intransitive;apewtu-;to tell stories.;;;;;;/?pëwt?/;apewtu-
InekeSmeets;Intransitive;apo-;"to become full; apoley 'it is full, it is high tide';";;;;;;/?pö/;apo-
InekeSmeets;Noun;apol;"stuffed sheep or goat (a dish);";;;;;;/?pöl/;apol
InekeSmeets;Transitive;apol-;"to fill;";;;;;;/?pöl/;apol-
InekeSmeets;Transitive;apoltu-;"to eat stuffed sheep or goat;";;;;;;/?pölt?/;apoltu-
InekeSmeets;Adjective;apon;full.;;;;;;/?pön/;apon
InekeSmeets;Intransitive;apoñma-;"to get full with;";;;;;;/?pö?m?/;apoñma-
InekeSmeets;Intransitive;apoñmale-;"to be pregnant, to have a lot of milk (after giving birth);";;;;;;/?pö?m?lë/;apoñmale-
InekeSmeets;Transitive;aposh-;to help (a child) to walk (not RR).;;;;;;/?pö?/;aposh-
InekeSmeets;Transitive;apüm-;"to finish; see af-.";;;;;;/?püm/;apüm-
InekeSmeets;Adjective;are;warm. are is as warm as kufü 'warm' and warmer than eñum 'warm'. are is much more frequent than kufü.;;;;;;/??ë/;are
InekeSmeets;Intransitive;are-;"to become warm; areley 'it is warm'; arengey 'it is warm (weather)';";;;;;;/??ë/;are-
InekeSmeets;Transitive;arem-;"to make warm;";;;;;;/??ëm/;arem-
InekeSmeets;Intransitive;arentu-;"to become warm/drowsy (a person);";;;;;;/??ënt?/;arentu-
InekeSmeets;Intransitive;areñmaw-;"to get inflamed/infected, to get heated (hay); areñmawaymi mi changüllkuwü 'yous will have infected toes'; areñmawüy ketran 'the hay got heated'.";;;;;;/??ë?m?w/;areñmaw-
InekeSmeets;Transitive;are-;"to lend to; are-l- 'to lend to' is more frequent; arelenew kiñe mansun 'he lent me one ox';";;;;;;/??ë/;are-
InekeSmeets;Transitive;aregülüm-;"to lend something; arengülümkelan plata mapuchemew 'I don't lend money to a Mapuche';";;;;;;/??ë?ülüm/;arengülüm-
InekeSmeets;Transitive;aretu-;"to borrow from; aretuenew ketran ~ aretuketranenew 'he borrowed wheat from me';";;;;;;/??ët?/;aretu-
InekeSmeets;Adjective;aretun;"borrowed; fey re aretun ropa niey 'he only has borrowed clothes'.";;;;;;/??ët?n/;aretun
InekeSmeets;Transitive;arenza-;"to lease; Sp. arrendar.";;;;;;/??ën??/;arenda-
InekeSmeets;Adjective;ariñ;"burnt, scorched;";;;;;;/????/;ariñ
InekeSmeets;Intransitive;ariñ-;"to get burnt, scorched; ariñüy ñi iyal 'my food got burnt';";;;;;;/????/;ariñ-
InekeSmeets;Transitive;ariñel-;to burn.;;;;;;/????ël/;ariñel-
InekeSmeets;Adjective;arken;"evaporateol; see arkü-.";;;;;;/??kën/;arken
InekeSmeets;Intransitive;arkü-;"to evaporate; arküley 'it is evaporating';";;;;;;/??kü/;arkü-
InekeSmeets;Adjective;arken;see arkü-n.;;;;;;/??kën/;arken
InekeSmeets;Adjective;arkün;"evaporated; also arken.";;;;;;/??kün/;arkün
InekeSmeets;Noun;arof;"sweat;";;;;;;/??öf/;arof
InekeSmeets;Intransitive;arof-;"to sweat;";;;;;;/??öf/;arof-
InekeSmeets;Transitive;arofel-;to make someone sweat.;;;;;;/??öfël/;arofel-
InekeSmeets;Noun;as;see ad.;;;;;;/?s/;as
InekeSmeets;Noun;asükar;"sugar; Sp. azúcar.";;;;;;/?sük??/;asükar
InekeSmeets;Adjective;asul;"blue; Sp. azul;";;;;;;/?s?l/;asul
InekeSmeets;Intransitive;asul-;"to become blue; asulüy 'it became blue, it is blue (always)'; asulküley 'it is blue (now), it looks blue'; asulngey 'it is partly blue, there is some blue';";;;;;;/?s?l/;asul-
InekeSmeets;Transitive;asultu-;to dye something blue.;;;;;;/?s?lt?/;asultu-
InekeSmeets;Noun;ash;see ad.;;;;;;/??/;ash
InekeSmeets;Adverb;ata;"as far as; Sp. hasta.";;;;;;/?t?/;ata
InekeSmeets;Intransitive;auriw-;"to get bored; Sp. aburrirse; auriwkülen 'I am bored'.";;;;;;/????w/;auriw-
InekeSmeets;Noun;awar;"beans; Sp. habas.";;;;;;/?w??/;awar
InekeSmeets;Noun;awela;"grandmother; Sp. abuela.";;;;;;/?wël?/;awela
InekeSmeets;Adjective;awi;"hot, heated; awi kuyüm 'hot sand';";;;;;;/?w?/;awi
InekeSmeets;Intransitive;awi-;"to become hot/heated;";;;;;;/?w?/;awi-
InekeSmeets;Noun;awiñ;"a small portion of something to be roasted, movement of hot air above hot sand or above a fire, glowing embers;";;;;;;/?w??/;awiñ
InekeSmeets;Intransitive;awiñ-;to glow from heat.;;;;;;/?w??/;awiñ-
InekeSmeets;Transitive;awiñma-;"to ride around the deceased; awü-ñma-. The deceased is placed on a bier and the visitors at the funeral ride several rounds on horseback around the bier to pay a last tribute of respect.";;;;;;/?w??m?/;awiñma-
InekeSmeets;Noun;awion;"airplane; Sp. avión.";;;;;;/?w?ön/;awion
InekeSmeets;Intransitive;awiyaw-;to glide around (eagles, vultures).;;;;;;/?w?j?w/;awiyaw-
InekeSmeets;Noun;awka;"wild horse, herd; Qu. awqa 'enemy, rebel';";;;;;;/?wk?/;awka
InekeSmeets;Intransitive;awka-;"to become wild, to go to war;";;;;;;/?wk?/;awka-
InekeSmeets;Adjective;awkan;"wild, play; awkan kawellu 'wild horse'.";;;;;;/?wk?n/;awkan
InekeSmeets;Transitive;awkantu-;"to play, to play a match;";;;;;;/?wk?nt?/;awkantu-
InekeSmeets;Intransitive;awki-;"to reflect;";;;;;;/?wk?/;awki-
InekeSmeets;Noun;awkiñko;echo.;;;;;;/?wk??kö/;awkiñko
InekeSmeets;Noun;awokaw;"lawyer; Sp. abogado.";;;;;;/?wök?w/;awokaw
InekeSmeets;Noun;awto;"car; also awtu; Sp. auto.";;;;;;/?wtö/;awto
InekeSmeets;Noun;awtu;see awto.;;;;;;/?wt?/;awtu
InekeSmeets;Transitive;awü-;"to hurt, to cause pain to; awüenew ñi fotüm, kom fendeñmaenew ñi kulliñ 'my son hurt me, he has sold all my cattle'; awüngellan 'how miserable I am!';";;;;;;/?wü/;awü-
InekeSmeets;Transitive;awüka-;"to beat up badly;";;;;;;/?wük?/;awüka-
InekeSmeets;Noun;awügen;suffering.;;;;;;/?wü?ën/;awüngen
InekeSmeets;Transitive;awüñma-;"to ride around the deceased (MM); see awi-ñma.";;;;;;/?wü?m?/;awüñma-
InekeSmeets;Intransitive;aye-;"to laugh (about);";;;;;;/?jë/;aye-
InekeSmeets;Transitive;ayeka-;"to laugh with someone;";;;;;;/?jëk?/;ayeka-
InekeSmeets;Intransitive;ayekaw-;"to roar with laughter;";;;;;;/?jëk?w/;ayekaw-
InekeSmeets;Noun;ayekawe;"joke, instrument to entertain with;";;;;;;/?jëk?wë/;ayekawe
InekeSmeets;Transitive;ayel-;"to smile at;";;;;;;/?jël/;ayel-
InekeSmeets;Transitive;ayelka-;"to make someone laugh;";;;;;;/?jëlk?/;ayelka-
InekeSmeets;Transitive;ayetu-;to laugh at, to mock.;;;;;;/?jët?/;ayetu-
InekeSmeets;Noun;aylen;"ember; aylen kütral 'fire of embers';";;;;;;/?jlën/;aylen
InekeSmeets;Intransitive;aylen-;to catch fire.;;;;;;/?jlën/;aylen-
InekeSmeets;Num;aylla;nine.;;;;;;/?j??/;aylla
InekeSmeets;Adverb;aymüñ;"fairly, somewhat, not very, rather; fachantü aymüñ alingkülen 'I have a little fever today'; ";;;;;;/?jmü?/;aymüñ
InekeSmeets;Transitive;aymüñel-;to make out with difficulty.;;;;;;/?jmü?ël/;aymüñel-
InekeSmeets;Transitive;ayü-;"to like, to love; feyengu ayümewüy 'theyd love each other';";;;;;;/?jü/;ayü-
InekeSmeets;Adjective;ayün;loved.;;;;;;/?jün/;ayün
InekeSmeets;Intransitive;ayüw-;"to become/be happy/content; müna ayüwüy iñchiu yu puwel 'he was very glad that wed came';";;;;;;/?jüw/;ayüw-
InekeSmeets;Noun;aywiñ;"shadow; cf. llawfeñ 'shade'; aywiñ kütral 'shadow caused by the light of the fire';";;;;;;/?jw??/;aywiñ
InekeSmeets;Intransitive;aywiñ-;"to become a shadow;";;;;;;/?jw??/;aywiñ-
InekeSmeets;Transitive;aywiñel-;to cast a shadow on.;;;;;;/?jw??ël/;aywiñel-
InekeSmeets;Noun;basu;"glass; Sp. vaso.";;;;;;/b?s?/;basu
InekeSmeets;Adverb;byen;"right; Sp. bien.";;;;;;/bjën/;byen
InekeSmeets;Noun;chacha;says a child to his father, also tata ~ tatay. chacha ~ chachay is more affectionate.;;;;;;/t?h?t?h?/;chacha
InekeSmeets;Noun;chachay;see chacha.;;;;;;/t?h?t?h?j/;chachay
InekeSmeets;Noun;chazi;"salt, salty;";;;;;;/t?h???/;chadi
InekeSmeets;Intransitive;chazige-;"to contain salt; chadingelay ti korü 'there is no salt in the soup';";;;;;;/t?h????ë/;chadinge-
InekeSmeets;Intransitive;chazi-;"to be salty;";;;;;;/t?h???/;chadi-
InekeSmeets;Transitive;chaziñma-;to put salt in/on something.;;;;;;/t?h????m?/;chadiñma-
InekeSmeets;Transitive;chaf-;to peel.;;;;;;/t?h?f/;chaf-
InekeSmeets;Intransitive;chafo-;"to catch a cold, to cough; amualmi wekun, makuntunge, chafoafuymi wütremew 'if yous go outside, put on a coat, yous might catch a cold';";;;;;;/t?h?fö/;chafo-
InekeSmeets;Noun;chafokutxan;cold (illness of nose and throat).;;;;;;/t?h?fök????n/;chafokutran
InekeSmeets;Adverb;chaq;"both, equally; (not RR); cf. yag.";;;;;;/t?h?q/;chag
