Theme;Is Under The Theme;Word;Translation;Image;Definition;Conjugation;Declensions;Examples;Pronunciation;OLD
Adjetivos;;fügküm;abochornado.;;;;;Fügküm aregekey. ‘Hace un calor abochornado.’;;2
Adjetivos;;füre;amargo.;;;;;;;5
Adjetivos;;fürkü;fría, fresca.;;;;;Fürkü ruka gey. ‘Es una casa fría.’;;4
Adjetivos;;fey fente;ser medianamente algo, o más o menos.;;;;;Fey fente üküf ‘medianamente apretado’.;;6
Adjetivos;;fentxen;una gran cantidad de, muchos.;;?;;;Waria mew fentxen amukawe müley ka yelchekawe müley. ‘En la ciudad hay una gran cantidad de autos y buses.’;;10
Adjetivos;;fill;todo, toda.;;?;;;Fill wezakelu ‘la ropa’, fill antü ‘cada día’. Aregey filla antü. ‘Cada día hace calor.’ Niey ta fill eltukawe ponwitu. ‘Tiene todas las habitaciones adentro’ ;;2
Adjetivos;;itxofill;diverso, diversa, diverso tipo de.;;;;;Feyta mew müley itxofill aliwen, ka itxofill awka kulliñ müley.‘Aquí hay diversos árboles, y hay diversos animales.’ Itxofill iyael zewmakey. ‘Hace todo tipo de comida.’;;10
Adjetivos;;inan;menor. Usado con parientes.;;;;;Inan peñi ‘hermano menor’.;;3
Adjetivos;;ka³;otro, siguiente. En temporales, puede indicar la próxima vez.;;;;;Ka txipantu ‘el otro año, próximo o pasado’, ka reqlentu ‘próxima semana’, ka kiñe ruka ‘otra casa’. Ka txipantu iñche magelaeyu. ‘El otro año yo te invitaré.’ Ka reqlentu txawayiñ. ‘La próxima semana nos juntaremos.’;;1
Adjetivos;;kazü;gris.;;;;;;;2
Adjetivos;;kakerumechi;todo tipo de, diversidad de;;?;;;Kakerumechi ruka zewmaken. ‘Construyo cualquier tipo de casa.’;;11
Adjetivos;;katxün;en rodajas, cortadas;;;;;Katxün poñü. Papas cortadas.;;
Adjetivos;;kagelu²;otro, otra.;;;;;Kagelu wigkul ‘otro cerro’, kagelu pünowe mew ‘en el otro piso’.;;2
Adjetivos;;karü;verde.;;;;;;;2
Adjetivos;;kallfü;azul.;;;;;;;2
Adjetivos;;kankatun;Var. de kankan.;;;;;;;
Adjetivos;;kankan;asado. Var. ~kankatun.;;;;;Kankan ilo ‘Carne asada’.;;5
Adjetivos;;küme;bueno, buena.;;;;;Küme küzawfe ‘buen trabajador’.;;
Adjetivos;;küme logko;inteligente.;;;;;¡Rume küme logkogeymi! ‘¡Eres muy inteligente!’;;9
Adjetivos;;külfün;proactivo, alentado.;;;;;;;
Adjetivos;;külto;suelto, holgado (ropa).;;?;;;külto tukuluwün ‘ropa suelta, holgada.’;;6
Adjetivos;;kültole-;estar holgada (la ropa).;;?;;;;;6
Adjetivos;;kelü;rojo.;;;;;;;2
Adjetivos;;kisu;solo. Vars. kishu (más lástima), kizu.;;?;;;Kisugen iñche. ‘Soy solo (soy una persona).’;;4
Adjetivos;;kom 2;todo, completo.;;;;;Kom üy ‘nombre completo’, kom ti txoytu ruka ‘todos los departamentos’.;;1
Adjetivos;;kochü;dulce.;;;;;Kochü mate ‘mate dulce’.;;5
Adjetivos;;kotxü;ácido.;;;;;Kotxü mate ‘mate amargo’.;;5
Adjetivos;;koyla²;mentiroso, falso.;;;;;Rüf kam koyla. ‘Verdadero o falso’;;0
Adjetivos;;kolü;café, castaño.;;;;;Kolü logkotuley. ‘Tiene el pelo castaño.’;;3
Adjetivos;;kuyfi;antiguo, antigua, viejo, vieja.;;;;;Kuyfike ruka ‘Casas antiguas’, kuyfi ñizol ‘ex jefe’. Kuyfi ruka gey ‘Es una casa vieja.’;;2
Adjetivos;;kurü;negro.;;;;;Kurü logkotuley. ‘Tiene el pelo negro.’ Kurügey tañi logko. ‘Su pelo es negro.’;;3
Adjetivos;;tagküfe;obediente.;;;;;Tagküfegey tati wentxu. ‘Ese hombre es obediente.’;;11
Adjetivos;;tüg;tranquilo.;;;;;;;2
Adjetivos;;txitxag;"desnudo, desnuda; descalzo.";;;;;Txiltxag namun ‘a pies pelados’.;;9
Adjetivos;;txinti;rizado.;;;;;Txintxi logkotuley. ‘Tiene el pelo rizado.’;;3
Adjetivos;;txogli;delgado.;;;;;Txogli che ‘persona flaca’.;;3
Adjetivos;;yafüpiwke;valiente.;;;;;Yafüpiwkeche ‘persona valiente’;;3
Adjetivos;;yüfüm;de crianza.;;?;;;yüfüm kulliñ ‘animales de crianza’;;2
Adjetivos;;ñüküf;tranquilo. ~niküf;;;;;;;4
Adjetivos;;ñiwa;astuto.;;;;;Ñiwa che ‘persona astuta’.;;3
Adjetivos;;rüf;cierto, verdadero.;;;;;;;
Adjetivos;;rükü;egoísta.;;;;;;;
Adjetivos;;rüge;grueso, abrigado.;;;;;Rügenochi parka ‘parka delgada’.;;4
Adjetivos;;riwküm;ruidoso.;;?;;;;;4
Adjetivos;;llum;oculto, secreto.;;;;;Llum wenüy ‘amigo secreto’.;;6
Adjetivos;;püchi rupa;angosto.;;;;;;;2
Adjetivos;;püchi püra;bajo ~püchipüra.;;;;;;;2
Adjetivos;;püchi piwke;humilde.;;;;;Püchi piwkegey tati fütxa ñizol. ‘El jefe es humilde.’;;11
Adjetivos;;püchi¹;pequeño.;;;;;Fey mew fachiantü tukuy kiñeke püchike chillka ruka mew. ‘Por eso hoy pegó unos cartelitos en la casa.’;;1
Adjetivos;;püchin;poco, poca.;;;;;Püchin che müley. ‘Hay poca gente.’ Re püchin wezakelu yean. ‘Solo llevaré algo de ropa.’;;2
Adjetivos;;pütxün;mucho, un montón.;;?;;;Pütxün chemkün. ‘hartas cosas’. Müley pütxün wigkul. ‘Hay muchos cerros.’;;2
Adjetivos;;pelon¹;luminoso. pelon ruka. ‘casa luminosa’;;;;;;;4
Adjetivos;;poz;sucio.;;;;;;;2
Adjetivos;;wapo;enojón.;;;;;Püchi wapogey tüfa. Re püchi zuguafiyu müten. ‘Este es un poco enojón. Le vamos a hablar un poco nomás.’;;1
Adjetivos;;wünen;mayor.;;;;;Wünen peñi ‘hermano mayor’.;;3
Adjetivos;;we;nuevo, nueva.;;;;;We ruka gey. ‘Es una casa nueva.’;;4
Adjetivos;;weza;mal, malo, mala.;;;;;Weza che ‘mala persona’, weza küzawfe ‘mal trabajadora’. ¡Weza zugu! ‘¡Que mal!’ Müna weza, lamgen ‘que mal, lamgen’.;;3
Adjetivos;;laf;liso.;;;;;Laf logkotuley. ‘Tiene el pelo liso.’;;3
Adjetivos;;lantu;viudo.;;;;;Alfredo ta lantu wentxu gey. ‘Alfredo es un hombre viudo.’;;7
Adjetivos;;lügkaw;disparejo.;;;;;;;2
Adjetivos;;lür;plano.;;;;;Ti mapu lürgey. ‘El terreno es plano.’;;2
Adjetivos;;lif;limpio;;;;;Firkü mew müley epu lifke achawall. ‘En el frío hay dos pollos limpios.’;;2
Adjetivos;;logkontukufe;memorioso, memoriosa.;;;;;;;11
Adjetivos;;niküf;silencioso, tranquilo. ~ñüküf;;;;;;;4
Adverbiales;;awe;a tiempo, en este momento.;;;;;Awe puwlayay. ‘No llegará a tiempo.’ ‘En este momento, no va llegar.’;;7
Adverbiales;;alü;de mucha cantidad. Antepuesto a algunos verbos de movimiento indica el grado de magnitud, es decir alto, ancho o extenso,etc.;;;;;Alü püray ‘Es alto.’ Alü wewün ran. ‘Gané mucho dinero.’;;2
Adverbiales;;alü pun;tarde.;;;;;Alü pun txipaken. ‘Suelo salir tarde.’;;
Adverbiales;;alüke;mayores. Forma plural de alü.;;;;;alüke txemche ‘adultos mayores’;;1
Adverbiales;;antü¹;"día, fecha; hora en ciertas expresiones compuestas.";;;;;Antü lleqün ‘fecha de nacimiento’, nar antü ‘la tarde’, ragi antü ‘mediodía’. ¿Chumte antü? ‘¿A qué hora?’ ¿Küme txipay tami antü? ‘¿Estuvo bien tu día?’ Küla antügey zew ñi inon. ‘Hace tres días que no comía.’;;1
Adverbiales;;zew;ya.;;;;;¡Rume alü puni zew! ‘¡Ya se hizo muy de noche!’;;2
Adverbiales;;zoy;más. Sirve para hacer comparaciones, el elemento comparado lleva la partícula mew.;;;;;Zoy tüyüw ‘más allá’. Zoy kimfiñ tami waria tati. ‘Conozco más de tu ciudad.’ Tüfachi ruka ta zoy alüy. ‘Esta casa es más grande.’;;2
Adverbiales;;müchay¹;más rato.;;;;;;;1
Adverbiales;;müchayke;seguidamente, a cada rato;;?;;;Müchayke rupakey ti yelchekawe. ‘A cada rato pasa la locomoción colectiva.’;;4
Adverbiales;;müte;no tanto. Se usa especialmente con verbos en negación.;;;;;Müte ayilafiñ. ‘No me gusta tanto.’;;4
Adverbiales;;mür;juntos (dos personas), en par. ;;;;;Mür amuayu. ‘Iremos juntos los dos.’;;
Adverbiales;;müna¹;muy, mucho.;;;;;"Müna müley tukukan. ‘Hay muchas huertas’; Fey münake azi. ‘Esas son muy bonitas (casas).’";;1
Adverbiales;;ella;medianamente.;;;;;Ella are ko ‘Agua medianamente tibia’.;;5
Adverbiales;;epe;casi.;;;;;Epe afümgey ti korü. ‘Casi se coció la sopa.’;;5
Adverbiales;;epeke;casi.;;;;;Epeke nügerkey, fey perkey kiñe lolo. ‘Casi lo agarraron, y justo se encontró una cueva.’;;7
Adverbiales;;epewün;madrugada. Horario desde las 5:00hrs hasta las 6:00 hrs.;;;;;Kechu txoy epewün ‘cinco de la madrugada’.;;2
Adverbiales;;famechi;Var. de ~famgechi.;;;;;;;
Adverbiales;;famgechi;así, de este modo. Se dice cuando se está haciendo la acción o indicando cerca del hablante. Var. ~famechi.;;;;;Fey pütokoaymi tüfachi karafe lawen famechi pütokoafimi. ‘Entonces beberás este jarabe, de este modo lo beberás.’;;
Adverbiales;;fachantü;Var. de ~fachantü.;;;;;;;2
Adverbiales;;fachiantü;hoy. ~fachantü.;;;;;"Fey fachiantü konpuygün ti chat tañi kimuwam egün. ‘Hoy se han conectado a
través de un chat para conocerse.’ Fachantü amualu Likan. ‘Hoy irá Likan.’";;
Adverbiales;;femechi;Var. de ~femgechi.;;;;;;;
Adverbiales;;femgechi;así, de ese modo. Var. ~femechi.;;;;;Femgechi zewmaken korü achawall. ‘De ese modo hago la sopa de pollo.’;;3
Adverbiales;;fey mu;Var. de ~feymew.;;;;;;;1
Adverbiales;;feymew;por eso, entonces. Vars. ~feymu, fey mew, fey mu.;;;;;¿Chumgelu ayilay Santiaw? Müna fitxunküley Santiaw, feymew. ‘¿Por qué no le gusta Santiago? Hay mucho smog en Santiago, por eso.’;;
Adverbiales;;feymu;Var. de ~feymew.;;;;;;;
Adverbiales;;fewla;ahora.;;;;;;;3
Adverbiales;;fente;tanto, así tanto (indicando).;;?;;;500,000 pesu fente pepi kulliafuyu kiñe küyen mu. ‘?’ Fente alü punlay, chaw. ‘No es tan de noche, papá.’ Fey fente püray ‘Es de esta altura (indicando).’ Fente newentu allkütukilfige musika. ‘No escuches música tan fuerte.’;;4
Adverbiales;;inagechi;por último.;;;;;Inagechi, Pablo ka ñi wenüy amuaygu ta UFRO mew amukawe mew. ‘Por último, Pablo y su amigo irán a la UFRO en auto.’;;12
Adverbiales;;kon antü;tarde;;;;;;;7
Adverbiales;;tayi;denantes.;;;;;Kallfüray gütxümi tayi. ‘Kallfüray llamó denantes.’;;7
Adverbiales;;turpu;nada. Antes de un verbo negativo significa nada o nunca.;;;;;Turpu kimlan. ‘No sé nada.’;;5
Adverbiales;;txalkantuku;con tormenta.;;;;;Txalkantuku mawünkey. ‘Llueve con tormenta, hay tormenta.’;;2
Adverbiales;;txür;junto, junta.;;;;;Txür müleygu. ‘Viven juntos.’;;3
Adverbiales;;ñochikechi;lentamente.;;;;;Ñochikechi apoy. ‘Se llenó lentamente.’;;
Adverbiales;;ragi antü;medio día.;;;;;Mari epu txoy ragi antü ‘doce del medio día.’;;2
Adverbiales;;ragi²;en medio de, entre.;;;;;Müna kümey Chillwe, ragi ufiza, ragi waka, ragi karü kachu, karüke aliwen. ‘Es muy bueno Chiloé, entre ovejas, entre vacas, en medio del pasto verde, los árboles verdes.’;;
Adverbiales;;rüke;pospuesto a algunos demostrativos equivale a ‘por ejemplo’. »fey rüke;;;;;Tüfa rüke ‘por ejemplo esto’:;;
Adverbiales;;reqlentu;semana.;;;;;Epukechi reqlentu mew ‘dos veces a la semana’, tüfachi reqlentu ‘esta semana’. Fentxen turno nien reqlentu mew. ‘Tengo una gran cantidad de turnos en la semana.’;;2
Adverbiales;;rume;muy, mucho.;;;;;Rume niey anümka. ‘Tiene muchas plantas.’ ¡Rume falirkey! ‘¡Oh, está muy caro!’;;2
Adverbiales;;rumel;siempre.;;;;;Tati gütxümwe mew, pepi gütxamkawkeiñ rumel taiñ pu che inchiñ. ‘Gracias al celular podemos conversar siempre con nuestros familiares.’;;
Adverbiales;;rupachi;pasado. »rupa-;;;;;Rupachi reqlentu ‘la semana pasada’;;2
Adverbiales;;püchi²;un poco.;;;;;Püchi wapogey. Es un poco enojón. Lamgen, ¿püchi zuguafuyu? ‘Hermana, podríamos hablar un poco.’ Püchi nien ran welu külfüngen. ‘Tengo poco dinero, pero soy proactiva.’;;1
Adverbiales;;püchi³;de poca cantidad. Antepuesto a los verbos »püra-, »rupa-, »tuw-, indica que es ‘bajo’, ‘angosto’ y ‘corto’.;;;;;;;2
Adverbiales;;püchikeñma;poco rato[?], pocas veces.;;?;;;Püchikeñma müleken tañi reñma iñchiñ. Feytachi zugu weñagküngey. ‘Estoy pocas veces con mi familia. Este asunto es muy entristecedor.’;;11
Adverbiales;;pürapan antü;mañana. Horario desde las 9:00 hrs hasta el medio día.;;?;;;Mari txoy pürapan antü ‘Diez de la mañana.’;;2
Adverbiales;;pürapan antüle-;ser de mañana.;;?;;;;;2
Adverbiales;;pürüm;de inmediato, al tiro.;;;;;Pürüm pütokoay lawen zewmale tañi puliwentu iyael, ragi antü iyael ka nar antü iyael. ‘Tomará el remedio inmediatamente después del desayuno, almuerzo y cena.’;;
Adverbiales;;petu¹;todavía. Indica que se está haciendo la acción en el momento del habla.;;;;;Petu awkantuy. ‘Está jugando.’ Petu allkütun. ‘Estoy escuchando.’ Mmm, petu kimlan. ‘Mmm, todavía no sé.’;;2
Adverbiales;;petu²;Junto algunas formas verbales con negación, equivale a ‘antes de hacer esa acción’.;;;;;Petu tami llitunon. ‘Antes de que empieces.’;;
Adverbiales;;pukem;"invierno; en invierno.";;;;;Walüg ka pukem ta wütxegekelay. ‘En verano e invierno, no hace frío.’ Pukem ta rume wütxegekey. ‘En invierno, hace mucho frío.’;;2
Adverbiales;;puliwen;mañana. Horario desde las 7:00 hrs hasta las 8:00 hrs.;;;;;Reqle txoy puliwen. ‘Siete de la mañana.’;;2
Adverbiales;;pun;noche. Horario desde la 1:00 hrs hasta las 4:00 hrs aproximadamente.;;;;;Kiñe txoy pun ‘una de la noche’, küla txoy pun ‘tres de la noche.’;;2
Adverbiales;;walüg;"verano; en verano.";;;;;Gilawe mew fill walüg akukey che. ‘En la playa, todos los veranos, llega gente.’;;2
Adverbiales;;wüla;"después; ahora.";;;;;Eymün wüla ‘Ahora ustedes’;;1
Adverbiales;;wüle;mañana.;;;;;Wüle müleay txawün. ‘Mañana habrá reunión.’;;1
Adverbiales;;wüne;primero.;;;;;Wüne, Pablo ka ñi wenüy amuaygu amukawe mew ta Parwa kara mew. ‘Primero, Pablo y su amigo irán en auto hacia la ciudad de Parwa.’;;
Adverbiales;;we;recién, acabo de.;;;;;We ñamümfiñ epu millon. ‘Acabo de perder dos millones.’;;
Adverbiales;;wechun;fin.;;;;;wechun reqlentu ‘fin de semana’, wechun txipantu ‘fin de año’.;;
Adverbiales;;wechun reqlentu;fin de semana.;;;;;Küme rulpayayu chi wechun reqlentu. ‘La pasaremos bien el fin de semana.’;;2
Adverbiales;;well;o bien. Sirve para indicar dos posibilidades.;;;;;Epukechi well melikechi reqlentu mew. ‘Dos o cuatro veces a la semana.’;;2
Adverbiales;;weluke;mutuamente?;;?;;;weluke azkinturukan ‘comparación de casas’;;4
Adverbiales;;wiya;ayer.;;;;;Nawel ta wiya txani, fey mew pital mew müley. ‘Ayer se cayó Nawel, por eso está en el hospital.’;;7
Adverbiales;;namuntu;a pie.;;;;;Naqayu Easy mew ka namuntu müten puwayu UFRO. ‘Nos bajaremos en el Easy y llegamos a la UFRO a pie no más.’;;12
Adverbiales;;nar antü;tarde, en las tarde. Horario desde las 13:00 hrs hasta las 20:00 hrs.;;;;;Epu txoy nar antü ‘dos de la tarde’, meli txoy nar antü ‘cuatro de la tarde’, kechu txoy nar antü ‘cinco de la tarde’.;;2
Adverbiales;;nar antüle-;ser tarde.;;;;;Pura txoy nar antüley. ‘Son las ocho de la tarde.’;;2
Adverbiales;;newe¹;no tanto.;;;;;Newe gelay che. ‘No hay tanta gente.’;;1
Adverbiales;;newe²;más. Antepuesto a locativos.;;;;;"newe tüyüw ‘más allá’; newe faw ‘más aquí’, newe püchi tüyüw un poco más allá. ";;2
Adverbiales;;newentu;con fuerza, fuerte.;;;;;Fente newentu allkütukilfige musika. ‘No escuches música tan fuerte.’;;9
Auxiliares;;küpa;querer, desear. Auxiliar antepuesto al verbo.;;;;;Küpa konfun. ‘Quisiera participar.’ Küpa kimmapuzugun. ‘Quiero aprender mapuzugun.’ ¿Chem küpa gillaymu? ‘¿Qué quieren (uds. dos) comprar?’;;1
Auxiliares;;küpan;Antepuesto a un verbo equivale a decir ‘después’. »rupan;;;;;Küpan kalülküzawlimi, txemotuaymi. ‘Después de que ejercites, te sanarás.’;;8
Auxiliares;;rupan;pasado algo. Se antepone a un verbo o sustantivo y equivale a después de esa acción o situación. »küpan;;;;;Rupan yafütun ‘después de la comida’, rupan ragi antü ‘pasado el medio día’;;8
Auxiliares;;pepi;poder. Antepuesto a un verbo indica indica que se puede o no se puede hacer esa situación.;;;;;Feymu pepi küzawmelayan lamgen. ‘Entonces no podré ira trabajar, lamgen.’;;8
Conmitativos;;emün;con, contigo. ;;;;;¿Iñi emün müleymi? ‘¿Con quiénes vives?’ ¿Iney emün miyawimün? ‘¿Con quienes andaban?’;;3
Conmitativos;;emu;con, contigo.;;;;;¿Martin ta eymi emu müley? ‘¿Martín está contigo?’;;3
Conmitativos;;egu²;con, los dos con él. Después de vocales se suele escribir como ~yegu.;;;;;Luis, Susana yegu ‘Luis y Susana’ David egu Pedro ‘David y Pedro’ kankan ilo egu afüm poñü. ‘carne asada con papas cocidas’, fizeo egu mülan tomate ‘fideos con salsa de tomate’. ¿Iñi egu müley ta Antü? ‘¿Con quién vive Antü?’ ;;
Conmitativos;;iñchiñ²;con ustedes, con él o ella, y nosotros.;;;;;Pu wenüy inchiñ miyawpeiñ. ‘Andábamos con los amigos’;;3
Conmitativos;;iñchiw²;contigo, con él o ella, y yo.;;;;;Rayen iñchiw ‘Rayen y yo’, Kiñe wenüy iñchiw ‘yo con un amigo’. Mülen tañi ñuke iñchiw. ‘Vivo con mi mamá.’;;2
Demostrativos;;ti;el, ella.;;;;;Ti fütache Ellaw pigey. ‘El hombre mayor se llama Ellaw.’;;1
Demostrativos;;egu¹;ellos, ellas dos. Después de vocales se suele escribir como ~yegu. »feyegu.;;;;;;;3
Demostrativos;;feychi;ese, el. »fey;;;;;Feychi fütxa zeyiñ. ‘El gran volcán.’ Azi feychi mapuche ruka ta ka. ‘Es bonita la casa mapuche además.’  ¿Chem am ta feychi che? ‘¿Qué son estas personas?’;;1
Demostrativos;;feyta;éste, ésta.;;;;;Tüfachi zomo kay feyta azelkarukafegey. ‘Y en cuanto a esta mujer, ella (lit. ésta) es arquitecta.’ ¿Feyta lawentuwe ruka am? ‘¿Este es el hospital?’;;1
Demostrativos;;feytachi;este..., esta.... »feyta;;;;;Feytachi wentxu rakiranfegey. ‘Este hombre es contador.’ Müna aregey antü feytachi mapu mew. ‘Hace mucho calor en esta tierra.’;;1
Demostrativos;;feytichi;ese, esa.;;;;;Feytichi wentxu. ‘Ese hombre.’;;1
Demostrativos;;ta²;var. de ~tüfa.;;;;;"tapüle ‘por acá’; tamu ‘por aquí’.";;1
Demostrativos;;tachi;este, esta.;;;;;Tachi txawün waria mew ‘en esta plaza’.;;2
Demostrativos;;tüfa;éste, ésta.;;;;;;;1
Demostrativos;;tüfachi;este, esta.;;;;;;;1
Demostrativos;;tüfey;eso, ese.;;;;;¡Tüfey! !Mira!;;1
Demostrativos;;tüye;aquel, aquella.;;?;;;;;1
Demostrativos;;yegün;Var. de ~egün.;;;;;;;
Demostrativos;;yegu;Var. de ~egu.;;;;;;;
Expresiones;;ayiwünche;persona alegre.;;;;;¿Ayiwünchegeymi? ‘¿Eres alegre?’;;3
Expresiones;;awem;¡oh! Interjección de asombro.;;;;;;;6
Expresiones;;awempe;¡oh! Interjección de asombro. »awem;;;;;¡Awempe, rume falirkey! ‘¡Oh, es muy caro!’;;6
Expresiones;;alüchi che;persona alta.;;;;;;;3
Expresiones;;alüke txemche;adultos.;;;;;;;*
Expresiones;;anay;oye, amigo, amiga. Término de exclamación.;;;;;¡Müna küme zugu anay! ‘¡Que buena noticia, oye!’;;3
Expresiones;;ziwill kuram;huevos revueltos;;;;;;;5
Expresiones;;ürkütuwe wagku;sofá, lit. ‘silla del living’;;;;;;;4
Expresiones;;ürkütun antü;vacaciones, días de descanso.;;;;;Nieyüm ürkütun antü che müna küpa txipakey. ‘Cuando estamos en vacaciones nos dan muchas ganas de salir.’;;10
Expresiones;;mamüll eñumtuwe;calefacción a leña.;;;;;Niey mamüll eñumtuwe. ‘Tiene calefacción a leña.’ Üykülele eñumtuwe, nürüfkunuafimi konpelonwe. ‘Si está encendida la calefacción, deja cerrada la ventana.’;;4
Expresiones;;mañum;gracias ~mañüm »chaltumay;;;;;;;1
Expresiones;;mari mari;hola, buenos días, buenas tardes (saludo genérico).;;;;;;;1
Expresiones;;mallu kuram;huevos duros;;;;;;;5
Expresiones;;mallu poñü;puré de papas, papas cocidas;;;;;;;5
Expresiones;;mankuwü;hola, lit. mano derecha (forma de saludo).;;;;;;;1
Expresiones;;müñetuwe takun;traje de baño.;;;;;;;6
Expresiones;;müley;Forma expresiones del tipo tengo que..., tienes que... etc. El pronombre posesivo que sigue indica quién debería hacer la acción. »mülen;;;;;"Müley tañi amual. ‘Tengo que ir.’
Müley tami küpayal. ‘Tienes que venir.’ Müley tañi wiñotual ‘Tiene que volver.’";;
Expresiones;;müna weza;que mal, muy mal. »müna, »weza;;;;;;;
Expresiones;;chazi ko;agua con sal, salmuera.;;?;;;;;8
Expresiones;;chaltumay;gracias.;;;;;;;1
Expresiones;;eymi no añchi;¿Acaso no eres tú? Es una forma de saludo, se responde con: Iñche tati. ‘Soy yo.’;;;;;;;1
Expresiones;;epe fill;etcétera;;;;;;;2
Expresiones;;fütxa kuyfi;tanto tiempo.;;;;;;;1
Expresiones;;fütxa witxanche;persona alta.;;;;;;;3
Expresiones;;fütxake logko;pelo largo, cabellos largos.;;;;;Wagülen fütxake logkotuley. Wagülen tiene el cabello largo.;;3
Expresiones;;fürin kuram;huevos fritos.;;;;;;;5
Expresiones;;fey fey;eso, eso. Expresión de confirmación de lo que se está escuchando.;;?;;;;;5
Expresiones;;fey rüke;por ejemplo, de este modo.;;;;;;;2
Expresiones;;fey wüla;a continuación, luego. ~feywüla.;;;;;Fey wüla fürigekey ta kuram. ‘Luego se fríen los huevos.’ Feywüla, Pablo ka ñi wenüy amuaygu ta Temuko mew namuntu. ‘Entonces (luego), Pablo y su amigo irán a Temuco a pie.’;;5
Expresiones;;feyürke;Ah, ya veo, veo que es así. Es el determinante »fey más la partícula libre »ürke.;;;;;;;1
Expresiones;;feypüle;por eso.;;?;;;Kom feypüle gemepeyu ta Temuko mew. ‘Por todo eso fuimos a Temuko.’;;2
Expresiones;;iñigen;identidad, neo. pronombre.;;;;;Iñigen: fey. ‘Pronombre: fey.’;;*
Expresiones;;ka chem;qué otra cosa.;;;;;¿Ka chem piafun? ‘¿Qué otra cosa puedo decir?’ ¿Ka chem zuamimi? ‘¿Qué otra cosa necesitas?’;;6
Expresiones;;ka kiñe;otro, otra.;;;;;Ka kiñe ruka ‘Otra casa’.;;4
Expresiones;;kafey;también.;;;;;Eymi kafey ‘tú también’.;;1
Expresiones;;kankan ilo;carne asada.;;;;;;;5
Expresiones;;küme az;bonito, bonita.;;;;;Müna küme az ta niey. Tiene muy buen aspecto. Küme azgechi ruka ‘Casa de buen aspecto.’;;2
Expresiones;;küme zugu;qué bueno, buena noticia, qué bien. »zugu;;;;;;;1
Expresiones;;küme zugufe;persona de buen vocabulario;;;;;;;11
Expresiones;;küme che;buena persona.;;;;;Rume azi ka rume küme chegey. ‘Es bonito y muy buena persona.’;;3
Expresiones;;kütxüg rayen;ramo de flores.;;;;;;;6
