uniqueid,title,slug,chillka,grammar,gram,def,exe,source,audio,wpcontrol,table,wpid
701250826,falin,falin,f,adjetivo,adj,"valioso, de valor. »fali -",Falin peñi reke ‘como gran hermano’. [PND],,,20220124,,22994
7.01251E+14,falinochi,falinochi,f,adjetivo,adj,"barato, barata.",Vicente pey müte falinochi oferta amuam Chillwe mapu mew. ‘Vicente encontró una oferta barata para ir a Chiloé.’ [MPZL],,"<audio id=""0701250826130508"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/0701250826130508.mp3""></audio><div><a onclick=""document.getElementById('0701250826130508').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,,21562
701250906,falke,falke,f,sustantivo,s,hombros.,,,"<audio id=""0701250906"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/0701250906.mp3""></audio><div><a onclick=""document.getElementById('0701250906').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,,21563
7.01251E+12,falta -,falta -,f,verbo,vt,esp. faltar.,,,"<audio id=""07012510010027"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/07012510010027.mp3""></audio><div><a onclick=""document.getElementById('07012510010027').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,"<table><thead><tr><th class=""has-text-align-left"" data-align=""left"">iney</th><th class=""has-text-align-left"" data-align=""left"">indicativo</th><th class=""has-text-align-left"" data-align=""left"">condicional</th><th class=""has-text-align-left"" data-align=""left"">imperativo</th></tr></thead><tbody><tr><td class=""has-text-align-left"" data-align=""left"">iñche</td><td class=""has-text-align-left"" data-align=""left"">falta<strong>n</strong></td><td class=""has-text-align-left"" data-align=""left"">falta<strong>li</strong></td><td class=""has-text-align-left"" data-align=""left"">falta<strong>chi</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymi</td><td class=""has-text-align-left"" data-align=""left"">falta<strong>ymi</strong></td><td class=""has-text-align-left"" data-align=""left"">falta<strong>lmi</strong></td><td class=""has-text-align-left"" data-align=""left"">falta<strong>ge</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">fey</td><td class=""has-text-align-left"" data-align=""left"">falta<strong>y</strong></td><td class=""has-text-align-left"" data-align=""left"">falta<strong>le</strong></td><td class=""has-text-align-left"" data-align=""left"">falta<strong>pe</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">iñchiw</td><td class=""has-text-align-left"" data-align=""left"">falta<strong>yu</strong></td><td class=""has-text-align-left"" data-align=""left"">falta<strong>liyu</strong></td><td class=""has-text-align-left"" data-align=""left"">falta<strong>yu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymu</td><td class=""has-text-align-left"" data-align=""left"">falta<strong>ymu</strong></td><td class=""has-text-align-left"" data-align=""left"">falta<strong>lmu</strong></td><td class=""has-text-align-left"" data-align=""left"">falta<strong>mu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">feyegu</td><td class=""has-text-align-left"" data-align=""left"">falta<strong>ygu</strong></td><td class=""has-text-align-left"" data-align=""left"">falta<strong>le egu</strong></td><td class=""has-text-align-left"" data-align=""left"">falta<strong>pe egu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">iñchiñ</td><td class=""has-text-align-left"" data-align=""left"">falta<strong>iñ</strong></td><td class=""has-text-align-left"" data-align=""left"">falta<strong>liyiñ</strong></td><td class=""has-text-align-left"" data-align=""left"">falta<strong>iñ</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymün</td><td class=""has-text-align-left"" data-align=""left"">falta<strong>ymün</strong></td><td class=""has-text-align-left"" data-align=""left"">falta<strong>lmün</strong></td><td class=""has-text-align-left"" data-align=""left"">falta<strong>mün</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">feyegün</td><td class=""has-text-align-left"" data-align=""left"">falta<strong>ygün</strong></td><td class=""has-text-align-left"" data-align=""left"">falta<strong>le egün</strong></td><td class=""has-text-align-left"" data-align=""left"">falta<strong>pe egün</strong></td></tr></tbody></table",21564
70126060027,fane -,fane -,f,verbo,vt,pesar.,¿Chumten faney? ‘¿Cuánto pesa?’,,"<audio id=""070126060027"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/070126060027.mp3""></audio><div><a onclick=""document.getElementById('070126060027').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,"<table><thead><tr><th class=""has-text-align-left"" data-align=""left"">iney</th><th class=""has-text-align-left"" data-align=""left"">indicativo</th><th class=""has-text-align-left"" data-align=""left"">condicional</th><th class=""has-text-align-left"" data-align=""left"">imperativo</th></tr></thead><tbody><tr><td class=""has-text-align-left"" data-align=""left"">iñche</td><td class=""has-text-align-left"" data-align=""left"">fane<strong>n</strong></td><td class=""has-text-align-left"" data-align=""left"">fane<strong>li</strong></td><td class=""has-text-align-left"" data-align=""left"">fane<strong>chi</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymi</td><td class=""has-text-align-left"" data-align=""left"">fane<strong>ymi</strong></td><td class=""has-text-align-left"" data-align=""left"">fane<strong>lmi</strong></td><td class=""has-text-align-left"" data-align=""left"">fane<strong>ge</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">fey</td><td class=""has-text-align-left"" data-align=""left"">fane<strong>y</strong></td><td class=""has-text-align-left"" data-align=""left"">fane<strong>le</strong></td><td class=""has-text-align-left"" data-align=""left"">fane<strong>pe</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">iñchiw</td><td class=""has-text-align-left"" data-align=""left"">fane<strong>yu</strong></td><td class=""has-text-align-left"" data-align=""left"">fane<strong>liyu</strong></td><td class=""has-text-align-left"" data-align=""left"">fane<strong>yu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymu</td><td class=""has-text-align-left"" data-align=""left"">fane<strong>ymu</strong></td><td class=""has-text-align-left"" data-align=""left"">fane<strong>lmu</strong></td><td class=""has-text-align-left"" data-align=""left"">fane<strong>mu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">feyegu</td><td class=""has-text-align-left"" data-align=""left"">fane<strong>ygu</strong></td><td class=""has-text-align-left"" data-align=""left"">fane<strong>le egu</strong></td><td class=""has-text-align-left"" data-align=""left"">fane<strong>pe egu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">iñchiñ</td><td class=""has-text-align-left"" data-align=""left"">fane<strong>iñ</strong></td><td class=""has-text-align-left"" data-align=""left"">fane<strong>liyiñ</strong></td><td class=""has-text-align-left"" data-align=""left"">fane<strong>iñ</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymün</td><td class=""has-text-align-left"" data-align=""left"">fane<strong>ymün</strong></td><td class=""has-text-align-left"" data-align=""left"">fane<strong>lmün</strong></td><td class=""has-text-align-left"" data-align=""left"">fane<strong>mün</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">feyegün</td><td class=""has-text-align-left"" data-align=""left"">fane<strong>ygün</strong></td><td class=""has-text-align-left"" data-align=""left"">fane<strong>le egün</strong></td><td class=""has-text-align-left"" data-align=""left"">fane<strong>pe egün</strong></td></tr></tbody></table",21565
7.01261E+16,fanentu -,fanentu -,f,verbo,vt,"valor, evaluar.",,,"<audio id=""070126062610230027"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/070126062610230027.mp3""></audio><div><a onclick=""document.getElementById('070126062610230027').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200509,"<table><thead><tr><th class=""has-text-align-left"" data-align=""left"">iney</th><th class=""has-text-align-left"" data-align=""left"">indicativo</th><th class=""has-text-align-left"" data-align=""left"">condicional</th><th class=""has-text-align-left"" data-align=""left"">imperativo</th></tr></thead><tbody><tr><td class=""has-text-align-left"" data-align=""left"">iñche</td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>n</strong></td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>li</strong></td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>chi</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymi</td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>ymi</strong></td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>lmi</strong></td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>ge</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">fey</td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>y</strong></td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>le</strong></td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>pe</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">iñchiw</td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>yu</strong></td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>liyu</strong></td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>yu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymu</td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>ymu</strong></td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>lmu</strong></td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>mu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">feyegu</td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>ygu</strong></td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>le egu</strong></td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>pe egu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">iñchiñ</td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>iñ</strong></td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>liyiñ</strong></td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>iñ</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymün</td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>ymün</strong></td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>lmün</strong></td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>mün</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">feyegün</td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>ygün</strong></td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>le egün</strong></td><td class=""has-text-align-left"" data-align=""left"">fanentu<strong>pe egün</strong></td></tr></tbody></table",21566
7.01261E+16,fanentuwe,fanentuwe,f,sustantivo,s,"pesa, romana.",,,"<audio id=""070126062610232406"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/070126062610232406.mp3""></audio><div><a onclick=""document.getElementById('070126062610232406').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,,21567
701260923,fanku,fanku,f,sustantivo,s,Var. de ~fagku.,,,"<audio id=""0701260923"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/0701260923.mp3""></audio><div><a onclick=""document.getElementById('0701260923').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,,21568
7.01261E+12,fante -,fante -,f,verbo,vi,"haber en esta cantidad, ser de este tamaño.",Iñche fantekunufiñ tachi wirin. ‘Entonces terminé de escribir.’ [MPZL],,"<audio id=""07012610060027"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/07012610060027.mp3""></audio><div><a onclick=""document.getElementById('07012610060027').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200509,"<table><thead><tr><th class=""has-text-align-left"" data-align=""left"">iney</th><th class=""has-text-align-left"" data-align=""left"">indicativo</th><th class=""has-text-align-left"" data-align=""left"">condicional</th><th class=""has-text-align-left"" data-align=""left"">imperativo</th></tr></thead><tbody><tr><td class=""has-text-align-left"" data-align=""left"">iñche</td><td class=""has-text-align-left"" data-align=""left"">fante<strong>n</strong></td><td class=""has-text-align-left"" data-align=""left"">fante<strong>li</strong></td><td class=""has-text-align-left"" data-align=""left"">fante<strong>chi</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymi</td><td class=""has-text-align-left"" data-align=""left"">fante<strong>ymi</strong></td><td class=""has-text-align-left"" data-align=""left"">fante<strong>lmi</strong></td><td class=""has-text-align-left"" data-align=""left"">fante<strong>ge</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">fey</td><td class=""has-text-align-left"" data-align=""left"">fante<strong>y</strong></td><td class=""has-text-align-left"" data-align=""left"">fante<strong>le</strong></td><td class=""has-text-align-left"" data-align=""left"">fante<strong>pe</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">iñchiw</td><td class=""has-text-align-left"" data-align=""left"">fante<strong>yu</strong></td><td class=""has-text-align-left"" data-align=""left"">fante<strong>liyu</strong></td><td class=""has-text-align-left"" data-align=""left"">fante<strong>yu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymu</td><td class=""has-text-align-left"" data-align=""left"">fante<strong>ymu</strong></td><td class=""has-text-align-left"" data-align=""left"">fante<strong>lmu</strong></td><td class=""has-text-align-left"" data-align=""left"">fante<strong>mu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">feyegu</td><td class=""has-text-align-left"" data-align=""left"">fante<strong>ygu</strong></td><td class=""has-text-align-left"" data-align=""left"">fante<strong>le egu</strong></td><td class=""has-text-align-left"" data-align=""left"">fante<strong>pe egu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">iñchiñ</td><td class=""has-text-align-left"" data-align=""left"">fante<strong>iñ</strong></td><td class=""has-text-align-left"" data-align=""left"">fante<strong>liyiñ</strong></td><td class=""has-text-align-left"" data-align=""left"">fante<strong>iñ</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymün</td><td class=""has-text-align-left"" data-align=""left"">fante<strong>ymün</strong></td><td class=""has-text-align-left"" data-align=""left"">fante<strong>lmün</strong></td><td class=""has-text-align-left"" data-align=""left"">fante<strong>mün</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">feyegün</td><td class=""has-text-align-left"" data-align=""left"">fante<strong>ygün</strong></td><td class=""has-text-align-left"" data-align=""left"">fante<strong>le egün</strong></td><td class=""has-text-align-left"" data-align=""left"">fante<strong>pe egün</strong></td></tr></tbody></table",21569
7.01261E+12,fantepu,fantepu,f,temporal,temp,"este tiempo, hoy día.","Feymew rume küme felengetuy Piwünh Txekan fantepu mew. ‘Por eso, Piwün Trekan se ha superado, hasta hoy día vive bien.’ [FED4]<br>Welu fantepu mew kom pu mapuche kimnietuy ñi chumlen ta mapu ka ñi mogkolkülen. ‘Pero en este tiempo todo mapuche sabe qué forma tiene la tierra y que es redonda.’ [CNN]<br>Fantepu zoy gewelay feychi kümeke zugu ‘Hoy día ya no hay más estos buenos asuntos.’ [FTM1]",,"<audio id=""07012610062223"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/07012610062223.mp3""></audio><div><a onclick=""document.getElementById('07012610062223').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200509,,21570
7.01261E+12,fantewe,fantewe,f,temporal,temp,"tal fecha, entonces, ese día.",Fantewe mew amuayu. ‘Tal fecha vamos a ir’ [MPZL],,"<audio id=""07012610062406"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/07012610062406.mp3""></audio><div><a onclick=""document.getElementById('07012610062406').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200509,,21571
7030203,füzü,füzü,f,sustantivo,s,perdíz.,Tati füzü pütxüken kuram nentukey. ‘La perdíz produce un montón de huevos.’ [TPU],,,20200818,,22912
7030213,füzo,füzo,f,sustantivo,s,ombligo.,,,"<audio id=""07030213"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/07030213.mp3""></audio><div><a onclick=""document.getElementById('07030213').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200812,,21572
7030501,fücha,fücha,f,adjetivo,adj,viejo.,"Amulelu rüpü mew, perpurkefi kiñe fücha wentxu. ‘Yendo por el camino se encontró con un anciano.’ [FTM1]",HCOM,,20210121,,22881
7.0305E+18,füchachege -,füchachege -,f,verbo,vi,ser viejo.,,,"<audio id=""07030501050616060027"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/07030501050616060027.mp3""></audio><div><a onclick=""document.getElementById('07030501050616060027').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,"<table><thead><tr><th class=""has-text-align-left"" data-align=""left"">iney</th><th class=""has-text-align-left"" data-align=""left"">indicativo</th><th class=""has-text-align-left"" data-align=""left"">condicional</th><th class=""has-text-align-left"" data-align=""left"">imperativo</th></tr></thead><tbody><tr><td class=""has-text-align-left"" data-align=""left"">iñche</td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>n</strong></td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>li</strong></td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>chi</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymi</td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>ymi</strong></td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>lmi</strong></td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>ge</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">fey</td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>y</strong></td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>le</strong></td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>pe</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">iñchiw</td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>yu</strong></td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>liyu</strong></td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>yu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymu</td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>ymu</strong></td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>lmu</strong></td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>mu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">feyegu</td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>ygu</strong></td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>le egu</strong></td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>pe egu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">iñchiñ</td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>iñ</strong></td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>liyiñ</strong></td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>iñ</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymün</td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>ymün</strong></td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>lmün</strong></td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>mün</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">feyegün</td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>ygün</strong></td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>le egün</strong></td><td class=""has-text-align-left"" data-align=""left"">füchachege<strong>pe egün</strong></td></tr></tbody></table",21573
7.0305E+18,fücha wentxu,fücha_wentxu,f,sustantivo,s,"anciano, hombre mayor.",,,"<audio id=""07030501322406261223"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/07030501322406261223.mp3""></audio><div><a onclick=""document.getElementById('07030501322406261223').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,,21574
7031001,füta,füta,f,social,soc,esposo.,,,"<audio id=""07031001"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/07031001.mp3""></audio><div><a onclick=""document.getElementById('07031001').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,,21575
70310010506,fütache,fütache,f,sustantivo,s,"anciano, hombre mayor, viejo. »che",,,"<audio id=""070310010506"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/070310010506.mp3""></audio><div><a onclick=""document.getElementById('070310010506').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,,21576
7.031E+14,fütage -,fütage -,f,verbo,vi,estar casado.,,,"<audio id=""0703100116060027"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/0703100116060027.mp3""></audio><div><a onclick=""document.getElementById('0703100116060027').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,"<table><thead><tr><th class=""has-text-align-left"" data-align=""left"">iney</th><th class=""has-text-align-left"" data-align=""left"">indicativo</th><th class=""has-text-align-left"" data-align=""left"">condicional</th><th class=""has-text-align-left"" data-align=""left"">imperativo</th></tr></thead><tbody><tr><td class=""has-text-align-left"" data-align=""left"">iñche</td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>n</strong></td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>li</strong></td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>chi</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymi</td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>ymi</strong></td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>lmi</strong></td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>ge</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">fey</td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>y</strong></td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>le</strong></td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>pe</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">iñchiw</td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>yu</strong></td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>liyu</strong></td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>yu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymu</td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>ymu</strong></td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>lmu</strong></td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>mu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">feyegu</td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>ygu</strong></td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>le egu</strong></td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>pe egu</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">iñchiñ</td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>iñ</strong></td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>liyiñ</strong></td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>iñ</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">eymün</td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>ymün</strong></td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>lmün</strong></td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>mün</strong></td></tr><tr><td class=""has-text-align-left"" data-align=""left"">feyegün</td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>ygün</strong></td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>le egün</strong></td><td class=""has-text-align-left"" data-align=""left"">fütage<strong>pe egün</strong></td></tr></tbody></table",21577
7031201,fütxa,fütxa,f,adjetivo,adj,"gran, grande.","Fütxake kura ruka ‘grandes edificios’, fütxake wigkul ‘grandes cerros’. [MPZL]",,"<audio id=""07031201"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/07031201.mp3""></audio><div><a onclick=""document.getElementById('07031201').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,,21578
7.0312E+22,fütxake logko,fütxake_logko,f,expresiones,exp,"pelo largo, cabellos largos.",Wagülen fütxake logkotuley. Wagülen tiene el cabello largo. [MPZL],,"<audio id=""070312010906322513160913"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/070312010906322513160913.mp3""></audio><div><a onclick=""document.getElementById('070312010906322513160913').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,,21579
7.0312E+16,fütxapiwke,fütxapiwke,f,adjetivo,adj,insensible.,,,"<audio id=""070312012208240906"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/070312012208240906.mp3""></audio><div><a onclick=""document.getElementById('070312012208240906').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,,21580
7.0312E+28,fütxa chagüll kuwü,fütxa_chagüll_kuwü,f,sustantivo,s,dedo pulgar.,,,"<audio id=""070312013205011603213209232403"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/070312013205011603213209232403.mp3""></audio><div><a onclick=""document.getElementById('070312013205011603213209232403').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200812,,21581
7.0312E+26,fütxa chillkatuwe,fütxa_chillkatuwe,f,sustantivo,s,universidad.,,,"<audio id=""0703120132050821090110232406"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/0703120132050821090110232406.mp3""></audio><div><a onclick=""document.getElementById('0703120132050821090110232406').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,,21582
7.0312E+18,fütxa kuyfi,fütxa_kuyfi,f,expresiones,exp,tanto tiempo.,,,"<audio id=""07031201320923140708"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/07031201320923140708.mp3""></audio><div><a onclick=""document.getElementById('07031201320923140708').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,,21583
7.0312E+26,fütxa yelchekawe,fütxa_yelchekawe,f,sustantivo,s,bus.,Feychi fütxa yelchekawe txipayay mari aylla antü Temuko mew. ‘Este bus saldrá el diecinueve de Temuco.’ [MPZL],,"<audio id=""0703120132140625050609012406"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/0703120132140625050609012406.mp3""></audio><div><a onclick=""document.getElementById('0703120132140625050609012406').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,,21584
7.0312E+24,fütxa gillakawe,fütxa_gillakawe,f,sustantivo,s,supermercado.,,,"<audio id=""07031201321608210109012406"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/07031201321608210109012406.mp3""></audio><div><a onclick=""document.getElementById('07031201321608210109012406').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,,21585
7.0312E+22,fütxa witxanche,fütxa_witxanche,f,expresiones,exp,persona alta.,,,"<audio id=""070312013224081201260506"" src=""https://azumchefe.cl/wp-content/uploads/2021/06/070312013224081201260506.mp3""></audio><div><a onclick=""document.getElementById('070312013224081201260506').play()""><i class=""volume""><img src=""https://azumchefe.cl/wp-content/uploads/2021/06/icon.png""></i></a></div>",20200404,,21586
